year,valor
2003,470
2003,363
2003,158
2003,141
2003,65
2003,109
2003,158
2003,448
2003,132
2003,62
2003,108
2003,219
2004,703
2004,203
2004,150
2004,96
2004,254
2004,215
2004,212
2004,163
2004,175
2004,92
2004,82
2004,198
2005,749
2005,257
2005,192
2005,127
2005,77
2005,214
2005,395
2005,344
2005,158
2005,163
2005,79
2005,136
2006,818
2006,173
2006,106
2006,78
2006,79
2006,190
2006,127
2006,121
2006,242
2006,328
2006,121
2006,219
2007,1044
2007,736
2007,471
2007,226
2007,160
2007,715
2007,472
2007,209
2007,70
2007,102
2007,64
2007,647
2008,883
2008,490
2008,398
2008,173
2008,75
2008,223
2008,167
2008,97
2008,77
2008,25
2008,70
2008,433
