year,valor
2003,148
2003,161
2003,31
2003,26
2003,23
2003,12
2003,22
2003,52
2003,62
2003,15
2003,20
2003,84
2004,205
2004,27
2004,18
2004,17
2004,18
2004,27
2004,47
2004,428
2004,1453
2004,20
2004,39
2004,99
2005,418
2005,40
2005,60
2005,36
2005,26
2005,41
2005,54
2005,112
2005,69
2005,114
2005,33
2005,70
2006,256
2006,123
2006,23
2006,21
2006,31
2006,42
2006,54
2006,168
2006,66
2006,53
2006,35
2006,98
2007,291
2007,225
2007,155
2007,60
2007,49
2007,137
2007,89
2007,74
2007,73
2007,33
2007,37
2007,152
2008,266
2008,119
2008,106
2008,84
2008,47
2008,80
2008,95
2008,177
2008,109
2008,25
2008,47
2008,125
