year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,4
2003,6,2,27
2003,6,3,5
2003,6,4,12
2003,7,1,21
2003,7,2,65
2003,7,3,67
2003,7,4,12
2003,8,1,24
2003,8,2,9
2003,8,3,4
2003,8,4,15
2003,9,1,6
2003,9,2,6
2003,9,3,137
2003,9,4,20
2003,10,1,2
2003,10,2,8
2003,10,3,1
2003,10,4,13
2003,11,1,20
2003,11,2,23
2003,11,3,43
2003,11,4,9
2003,12,1,161
2003,12,2,48
2003,12,3,2
2003,12,4,1
2004,1,1,33
2004,1,2,14
2004,1,3,12
2004,1,4,405
2004,2,1,123
2004,2,2,64
2004,2,3,7
2004,2,4,219
2004,3,1,26
2004,3,2,4
2004,3,3,17
2004,3,4,7
2004,4,1,1
2004,4,2,16
2004,4,3,0
2004,4,4,4
2004,5,1,10
2004,5,2,19
2004,5,3,11
2004,5,4,27
2004,6,1,5
2004,6,2,25
2004,6,3,62
2004,6,4,30
2004,7,1,4
2004,7,2,20
2004,7,3,7
2004,7,4,32
2004,8,1,6
2004,8,2,145
2004,8,3,11
2004,8,4,26
2004,9,1,375
2004,9,2,77
2004,9,3,435
2004,9,4,367
2004,10,1,11
2004,10,2,1
2004,10,3,35
2004,10,4,32
2004,11,1,13
2004,11,2,39
2004,11,3,39
2004,11,4,31
2004,12,1,40
2004,12,2,25
2004,12,3,113
2004,12,4,69
2005,1,1,95
2005,1,2,100
2005,1,3,227
2005,1,4,1401
2005,2,1,18
2005,2,2,205
2005,2,3,55
2005,2,4,129
2005,3,1,35
2005,3,2,76
2005,3,3,69
2005,3,4,108
2005,4,1,155
2005,4,2,65
2005,4,3,72
2005,4,4,97
2005,5,1,28
2005,5,2,28
2005,5,3,112
2005,5,4,79
2005,6,1,148
2005,6,2,146
2005,6,3,32
2005,6,4,80
2005,7,1,113
2005,7,2,335
2005,7,3,109
2005,7,4,74
2005,8,1,37
2005,8,2,64
2005,8,3,79
2005,8,4,306
2005,9,1,127
2005,9,2,79
2005,9,3,63
2005,9,4,51
2005,10,1,10
2005,10,2,13
2005,10,3,11
2005,10,4,236
2005,11,1,8
2005,11,2,9
2005,11,3,27
2005,11,4,7
2005,12,1,35
2005,12,2,205
2005,12,3,13
2005,12,4,17
2006,1,1,60
2006,1,2,53
2006,1,3,88
2006,1,4,18
2006,2,1,78
2006,2,2,155
2006,2,3,92
2006,2,4,18
2006,3,1,16
2006,3,2,16
2006,3,3,12
2006,3,4,3
2006,4,1,5
2006,4,2,3
2006,4,3,33
2006,4,4,20
2006,5,1,13
2006,5,2,12
2006,5,3,0
2006,5,4,6
2006,6,1,10
2006,6,2,11
2006,6,3,28
2006,6,4,31
2006,7,1,17
2006,7,2,3
2006,7,3,14
2006,7,4,5
2006,8,1,12
2006,8,2,19
2006,8,3,17
2006,8,4,70
2006,9,1,35
2006,9,2,7
2006,9,3,43
2006,9,4,11
2006,10,1,6
2006,10,2,15
2006,10,3,73
2006,10,4,49
2006,11,1,14
2006,11,2,34
2006,11,3,11
2006,11,4,45
2006,12,1,62
2006,12,2,72
2006,12,3,60
2006,12,4,19
2007,1,1,63
2007,1,2,134
2007,1,3,215
2007,1,4,42
2007,2,1,221
2007,2,2,233
2007,2,3,26
2007,2,4,92
2007,3,1,90
2007,3,2,6
2007,3,3,160
2007,3,4,10
2007,4,1,25
2007,4,2,47
2007,4,3,30
2007,4,4,15
2007,5,1,7
2007,5,2,11
2007,5,3,5
2007,5,4,5
2007,6,1,11
2007,6,2,84
2007,6,3,14
2007,6,4,43
2007,7,1,6
2007,7,2,36
2007,7,3,14
2007,7,4,18
2007,8,1,2
2007,8,2,6
2007,8,3,21
2007,8,4,55
2007,9,1,2
2007,9,2,38
2007,9,3,3
2007,9,4,2
2007,10,1,4
2007,10,2,12
2007,10,3,80
2007,10,4,12
2007,11,1,8
2007,11,2,3
2007,11,3,14
2007,11,4,18
2007,12,1,91
2007,12,2,192
2007,12,3,134
2007,12,4,64
2008,1,1,19
2008,1,2,58
2008,1,3,795
2008,1,4,116
2008,2,1,145
2008,2,2,75
2008,2,3,107
2008,2,4,31
2008,3,1,92
2008,3,2,113
2008,3,3,48
2008,3,4,4
2008,4,1,34
2008,4,2,4
2008,4,3,1
2008,4,4,4
2008,5,1,4
2008,5,2,1
2008,5,3,4
2008,5,4,6
2008,6,1,6
2008,6,2,17
2008,6,3,10
2008,6,4,9
2008,7,1,26
2008,7,2,129
2008,7,3,36
2008,7,4,25
2008,8,1,37
2008,8,2,8
2008,8,3,77
2008,8,4,14
2008,9,1,132
2008,9,2,99
2008,9,3,15
2008,9,4,0
2008,10,1,1
2008,10,2,17
2008,10,3,2
2008,10,4,7
2008,11,1,2
2008,11,2,25
2008,11,3,0
2008,11,4,16
2008,12,1,14
2008,12,2,39
2008,12,3,209
2008,12,4,76
