year,mes,semana,valor
2003,1,1,0
2003,1,2,6
2003,1,3,3
2003,1,4,6
2003,2,1,8
2003,2,2,4
2003,2,3,85
2003,2,4,9
2003,3,1,10
2003,3,2,3
2003,3,3,11
2003,3,4,5
2003,4,1,13
2003,4,2,8
2003,4,3,3
2003,4,4,2
2003,5,1,3
2003,5,2,5
2003,5,3,3
2003,5,4,12
2003,6,1,8
2003,6,2,9
2003,6,3,8
2003,6,4,3
2003,7,1,5
2003,7,2,16
2003,7,3,14
2003,7,4,9
2003,8,1,14
2003,8,2,34
2003,8,3,11
2003,8,4,38
2003,9,1,3
2003,9,2,8
2003,9,3,45
2003,9,4,11
2003,10,1,14
2003,10,2,3
2003,10,3,8
2003,10,4,9
2003,11,1,5
2003,11,2,10
2003,11,3,6
2003,11,4,1
2003,12,1,43
2003,12,2,10
2003,12,3,0
2003,12,4,1
2004,1,1,11
2004,1,2,7
2004,1,3,8
2004,1,4,44
2004,2,1,12
2004,2,2,6
2004,2,3,2
2004,2,4,6
2004,3,1,1
2004,3,2,3
2004,3,3,7
2004,3,4,3
2004,4,1,1
2004,4,2,3
2004,4,3,2
2004,4,4,5
2004,5,1,7
2004,5,2,9
2004,5,3,14
2004,5,4,11
2004,6,1,6
2004,6,2,9
2004,6,3,18
2004,6,4,6
2004,7,1,5
2004,7,2,12
2004,7,3,7
2004,7,4,13
2004,8,1,54
2004,8,2,31
2004,8,3,10
2004,8,4,24
2004,9,1,476
2004,9,2,22
2004,9,3,19
2004,9,4,192
2004,10,1,10
2004,10,2,1
2004,10,3,10
2004,10,4,11
2004,11,1,11
2004,11,2,9
2004,11,3,4
2004,11,4,3
2004,12,1,9
2004,12,2,4
2004,12,3,11
2004,12,4,14
2005,1,1,6
2005,1,2,6
2005,1,3,61
2005,1,4,47
2005,2,1,8
2005,2,2,9
2005,2,3,9
2005,2,4,8
2005,3,1,9
2005,3,2,16
2005,3,3,7
2005,3,4,4
2005,4,1,3
2005,4,2,12
2005,4,3,7
2005,4,4,9
2005,5,1,10
2005,5,2,6
2005,5,3,7
2005,5,4,6
2005,6,1,8
2005,6,2,10
2005,6,3,24
2005,6,4,16
2005,7,1,12
2005,7,2,25
2005,7,3,12
2005,7,4,10
2005,8,1,18
2005,8,2,23
2005,8,3,14
2005,8,4,195
2005,9,1,29
2005,9,2,21
2005,9,3,125
2005,9,4,17
2005,10,1,24
2005,10,2,17
2005,10,3,44
2005,10,4,480
2005,11,1,5
2005,11,2,6
2005,11,3,7
2005,11,4,1
2005,12,1,15
2005,12,2,24
2005,12,3,6
2005,12,4,10
2006,1,1,5
2006,1,2,6
2006,1,3,16
2006,1,4,8
2006,2,1,8
2006,2,2,74
2006,2,3,10
2006,2,4,1
2006,3,1,3
2006,3,2,5
2006,3,3,3
2006,3,4,3
2006,4,1,7
2006,4,2,2
2006,4,3,6
2006,4,4,5
2006,5,1,10
2006,5,2,22
2006,5,3,7
2006,5,4,12
2006,6,1,15
2006,6,2,11
2006,6,3,17
2006,6,4,21
2006,7,1,11
2006,7,2,12
2006,7,3,20
2006,7,4,14
2006,8,1,9
2006,8,2,28
2006,8,3,16
2006,8,4,157
2006,9,1,24
2006,9,2,26
2006,9,3,22
2006,9,4,18
2006,10,1,7
2006,10,2,10
2006,10,3,7
2006,10,4,5
2006,11,1,3
2006,11,2,7
2006,11,3,3
2006,11,4,8
2006,12,1,26
2006,12,2,13
2006,12,3,13
2006,12,4,15
2007,1,1,10
2007,1,2,9
2007,1,3,26
2007,1,4,20
2007,2,1,17
2007,2,2,60
2007,2,3,10
2007,2,4,44
2007,3,1,18
2007,3,2,12
2007,3,3,53
2007,3,4,14
2007,4,1,3
2007,4,2,24
2007,4,3,15
2007,4,4,14
2007,5,1,15
2007,5,2,12
2007,5,3,6
2007,5,4,11
2007,6,1,21
2007,6,2,30
2007,6,3,16
2007,6,4,26
2007,7,1,31
2007,7,2,16
2007,7,3,10
2007,7,4,34
2007,8,1,17
2007,8,2,17
2007,8,3,23
2007,8,4,19
2007,9,1,7
2007,9,2,24
2007,9,3,17
2007,9,4,11
2007,10,1,8
2007,10,2,8
2007,10,3,16
2007,10,4,12
2007,11,1,7
2007,11,2,2
2007,11,3,5
2007,11,4,7
2007,12,1,13
2007,12,2,22
2007,12,3,22
2007,12,4,15
2008,1,1,19
2008,1,2,12
2008,1,3,19
2008,1,4,31
2008,2,1,28
2008,2,2,22
2008,2,3,31
2008,2,4,9
2008,3,1,29
2008,3,2,23
2008,3,3,18
2008,3,4,17
2008,4,1,19
2008,4,2,14
2008,4,3,12
2008,4,4,11
2008,5,1,11
2008,5,2,16
2008,5,3,14
2008,5,4,18
2008,6,1,7
2008,6,2,20
2008,6,3,36
2008,6,4,10
2008,7,1,18
2008,7,2,16
2008,7,3,13
2008,7,4,18
2008,8,1,10
2008,8,2,19
2008,8,3,45
2008,8,4,19
2008,9,1,18
2008,9,2,33
2008,9,3,11
2008,9,4,6
2008,10,1,12
2008,10,2,5
2008,10,3,7
2008,10,4,12
2008,11,1,2
2008,11,2,12
2008,11,3,6
2008,11,4,2
2008,12,1,9
2008,12,2,18
2008,12,3,26
2008,12,4,12
