year,mes,semana,valor
2003,1,1,195
2003,1,2,152
2003,1,3,254
2003,1,4,354
2003,2,1,430
2003,2,2,148
2003,2,3,990
2003,2,4,961
2003,3,1,348
2003,3,2,93
2003,3,3,246
2003,3,4,90
2003,4,1,747
2003,4,2,135
2003,4,3,98
2003,4,4,99
2003,5,1,74
2003,5,2,96
2003,5,3,46
2003,5,4,104
2003,6,1,56
2003,6,2,257
2003,6,3,81
2003,6,4,60
2003,7,1,147
2003,7,2,323
2003,7,3,208
2003,7,4,54
2003,8,1,349
2003,8,2,436
2003,8,3,121
2003,8,4,502
2003,9,1,132
2003,9,2,452
2003,9,3,403
2003,9,4,150
2003,10,1,73
2003,10,2,78
2003,10,3,72
2003,10,4,191
2003,11,1,323
2003,11,2,218
2003,11,3,346
2003,11,4,71
2003,12,1,646
2003,12,2,535
2003,12,3,100
2003,12,4,36
2004,1,1,564
2004,1,2,236
2004,1,3,322
2004,1,4,1178
2004,2,1,577
2004,2,2,330
2004,2,3,120
2004,2,4,147
2004,3,1,442
2004,3,2,94
2004,3,3,279
2004,3,4,137
2004,4,1,51
2004,4,2,107
2004,4,3,54
2004,4,4,119
2004,5,1,49
2004,5,2,399
2004,5,3,392
2004,5,4,414
2004,6,1,100
2004,6,2,218
2004,6,3,201
2004,6,4,125
2004,7,1,75
2004,7,2,190
2004,7,3,265
2004,7,4,414
2004,8,1,293
2004,8,2,317
2004,8,3,224
2004,8,4,399
2004,9,1,1070
2004,9,2,307
2004,9,3,116
2004,9,4,492
2004,10,1,126
2004,10,2,44
2004,10,3,73
2004,10,4,115
2004,11,1,118
2004,11,2,71
2004,11,3,80
2004,11,4,99
2004,12,1,169
2004,12,2,179
2004,12,3,339
2004,12,4,172
2005,1,1,471
2005,1,2,406
2005,1,3,971
2005,1,4,380
2005,2,1,158
2005,2,2,166
2005,2,3,176
2005,2,4,236
2005,3,1,125
2005,3,2,201
2005,3,3,57
2005,3,4,90
2005,4,1,105
2005,4,2,158
2005,4,3,37
2005,4,4,58
2005,5,1,48
2005,5,2,107
2005,5,3,38
2005,5,4,45
2005,6,1,109
2005,6,2,115
2005,6,3,87
2005,6,4,89
2005,7,1,218
2005,7,2,209
2005,7,3,200
2005,7,4,193
2005,8,1,153
2005,8,2,280
2005,8,3,222
2005,8,4,489
2005,9,1,249
2005,9,2,169
2005,9,3,300
2005,9,4,88
2005,10,1,82
2005,10,2,169
2005,10,3,79
2005,10,4,967
2005,11,1,60
2005,11,2,92
2005,11,3,54
2005,11,4,17
2005,12,1,551
2005,12,2,411
2005,12,3,49
2005,12,4,18
2006,1,1,86
2006,1,2,103
2006,1,3,263
2006,1,4,83
2006,2,1,104
2006,2,2,769
2006,2,3,334
2006,2,4,48
2006,3,1,200
2006,3,2,119
2006,3,3,184
2006,3,4,97
2006,4,1,140
2006,4,2,35
2006,4,3,47
2006,4,4,134
2006,5,1,77
2006,5,2,131
2006,5,3,89
2006,5,4,204
2006,6,1,115
2006,6,2,81
2006,6,3,110
2006,6,4,73
2006,7,1,300
2006,7,2,66
2006,7,3,250
2006,7,4,227
2006,8,1,177
2006,8,2,178
2006,8,3,117
2006,8,4,462
2006,9,1,126
2006,9,2,322
2006,9,3,367
2006,9,4,104
2006,10,1,264
2006,10,2,117
2006,10,3,73
2006,10,4,186
2006,11,1,68
2006,11,2,542
2006,11,3,74
2006,11,4,600
2006,12,1,586
2006,12,2,258
2006,12,3,316
2006,12,4,721
2007,1,1,188
2007,1,2,1263
2007,1,3,832
2007,1,4,239
2007,2,1,746
2007,2,2,971
2007,2,3,160
2007,2,4,1101
2007,3,1,401
2007,3,2,139
2007,3,3,624
2007,3,4,702
2007,4,1,233
2007,4,2,547
2007,4,3,109
2007,4,4,741
2007,5,1,189
2007,5,2,260
2007,5,3,98
2007,5,4,646
2007,6,1,388
2007,6,2,233
2007,6,3,215
2007,6,4,1093
2007,7,1,392
2007,7,2,270
2007,7,3,148
2007,7,4,280
2007,8,1,175
2007,8,2,160
2007,8,3,341
2007,8,4,295
2007,9,1,105
2007,9,2,455
2007,9,3,109
2007,9,4,224
2007,10,1,90
2007,10,2,194
2007,10,3,132
2007,10,4,107
2007,11,1,119
2007,11,2,129
2007,11,3,128
2007,11,4,169
2007,12,1,502
2007,12,2,758
2007,12,3,318
2007,12,4,206
2008,1,1,314
2008,1,2,266
2008,1,3,347
2008,1,4,730
2008,2,1,808
2008,2,2,480
2008,2,3,735
2008,2,4,278
2008,3,1,1090
2008,3,2,155
2008,3,3,944
2008,3,4,719
2008,4,1,272
2008,4,2,1000
2008,4,3,191
2008,4,4,185
2008,5,1,322
2008,5,2,232
2008,5,3,148
2008,5,4,417
2008,6,1,91
2008,6,2,325
2008,6,3,379
2008,6,4,228
2008,7,1,97
2008,7,2,267
2008,7,3,206
2008,7,4,249
2008,8,1,328
2008,8,2,376
2008,8,3,283
2008,8,4,221
2008,9,1,238
2008,9,2,264
2008,9,3,98
2008,9,4,104
2008,10,1,71
2008,10,2,70
2008,10,3,61
2008,10,4,119
2008,11,1,86
2008,11,2,180
2008,11,3,92
2008,11,4,46
2008,12,1,99
2008,12,2,245
2008,12,3,504
2008,12,4,210
