year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,6
2003,6,2,37
2003,6,3,2
2003,6,4,4
2003,7,1,29
2003,7,2,10
2003,7,3,5
2003,7,4,0
2003,8,1,5
2003,8,2,9
2003,8,3,3
2003,8,4,127
2003,9,1,0
2003,9,2,9
2003,9,3,274
2003,9,4,13
2003,10,1,0
2003,10,2,0
2003,10,3,0
2003,10,4,0
2003,11,1,43
2003,11,2,5
2003,11,3,132
2003,11,4,14
2003,12,1,579
2003,12,2,172
2003,12,3,0
2003,12,4,2
2004,1,1,298
2004,1,2,78
2004,1,3,110
2004,1,4,678
2004,2,1,193
2004,2,2,122
2004,2,3,0
2004,2,4,20
2004,3,1,127
2004,3,2,2
2004,3,3,80
2004,3,4,0
2004,4,1,0
2004,4,2,4
2004,4,3,1
2004,4,4,2
2004,5,1,2
2004,5,2,160
2004,5,3,28
2004,5,4,201
2004,6,1,48
2004,6,2,43
2004,6,3,59
2004,6,4,69
2004,7,1,4
2004,7,2,1
2004,7,3,18
2004,7,4,225
2004,8,1,35
2004,8,2,155
2004,8,3,114
2004,8,4,107
2004,9,1,1005
2004,9,2,152
2004,9,3,61
2004,9,4,433
2004,10,1,54
2004,10,2,0
2004,10,3,8
2004,10,4,27
2004,11,1,2
2004,11,2,12
2004,11,3,4
2004,11,4,3
2004,12,1,19
2004,12,2,6
2004,12,3,247
2004,12,4,119
2005,1,1,285
2005,1,2,191
2005,1,3,815
2005,1,4,280
2005,2,1,73
2005,2,2,12
2005,2,3,42
2005,2,4,196
2005,3,1,42
2005,3,2,107
2005,3,3,18
2005,3,4,26
2005,4,1,48
2005,4,2,61
2005,4,3,0
2005,4,4,20
2005,5,1,10
2005,5,2,5
2005,5,3,17
2005,5,4,2
2005,6,1,3
2005,6,2,0
2005,6,3,9
2005,6,4,27
2005,7,1,147
2005,7,2,73
2005,7,3,39
2005,7,4,21
2005,8,1,94
2005,8,2,130
2005,8,3,36
2005,8,4,427
2005,9,1,226
2005,9,2,99
2005,9,3,241
2005,9,4,54
2005,10,1,16
2005,10,2,20
2005,10,3,36
2005,10,4,883
2005,11,1,3
2005,11,2,8
2005,11,3,2
2005,11,4,1
2005,12,1,484
2005,12,2,335
2005,12,3,15
2005,12,4,0
2006,1,1,6
2006,1,2,30
2006,1,3,102
2006,1,4,1
2006,2,1,13
2006,2,2,673
2006,2,3,177
2006,2,4,0
2006,3,1,80
2006,3,2,4
2006,3,3,85
2006,3,4,12
2006,4,1,60
2006,4,2,0
2006,4,3,8
2006,4,4,60
2006,5,1,20
2006,5,2,4
2006,5,3,0
2006,5,4,71
2006,6,1,3
2006,6,2,8
2006,6,3,26
2006,6,4,29
2006,7,1,214
2006,7,2,3
2006,7,3,43
2006,7,4,4
2006,8,1,132
2006,8,2,20
2006,8,3,4
2006,8,4,271
2006,9,1,19
2006,9,2,81
2006,9,3,233
2006,9,4,1
2006,10,1,153
2006,10,2,65
2006,10,3,0
2006,10,4,28
2006,11,1,2
2006,11,2,138
2006,11,3,0
2006,11,4,490
2006,12,1,274
2006,12,2,31
2006,12,3,107
2006,12,4,539
2007,1,1,4
2007,1,2,1109
2007,1,3,539
2007,1,4,26
2007,2,1,442
2007,2,2,584
2007,2,3,0
2007,2,4,917
2007,3,1,87
2007,3,2,47
2007,3,3,422
2007,3,4,523
2007,4,1,101
2007,4,2,320
2007,4,3,36
2007,4,4,464
2007,5,1,112
2007,5,2,155
2007,5,3,8
2007,5,4,120
2007,6,1,196
2007,6,2,18
2007,6,3,35
2007,6,4,520
2007,7,1,201
2007,7,2,118
2007,7,3,36
2007,7,4,135
2007,8,1,21
2007,8,2,3
2007,8,3,126
2007,8,4,62
2007,9,1,1
2007,9,2,306
2007,9,3,0
2007,9,4,2
2007,10,1,0
2007,10,2,80
2007,10,3,1
2007,10,4,0
2007,11,1,8
2007,11,2,0
2007,11,3,3
2007,11,4,5
2007,12,1,269
2007,12,2,439
2007,12,3,99
2007,12,4,14
2008,1,1,15
2008,1,2,75
2008,1,3,52
2008,1,4,200
2008,2,1,424
2008,2,2,160
2008,2,3,481
2008,2,4,48
2008,3,1,885
2008,3,2,17
2008,3,3,780
2008,3,4,6
2008,4,1,4
2008,4,2,2
2008,4,3,35
2008,4,4,90
2008,5,1,140
2008,5,2,16
2008,5,3,0
2008,5,4,250
2008,6,1,8
2008,6,2,163
2008,6,3,197
2008,6,4,99
2008,7,1,31
2008,7,2,56
2008,7,3,13
2008,7,4,76
2008,8,1,135
2008,8,2,50
2008,8,3,112
2008,8,4,37
2008,9,1,110
2008,9,2,160
2008,9,3,17
2008,9,4,0
2008,10,1,0
2008,10,2,1
2008,10,3,7
2008,10,4,2
2008,11,1,0
2008,11,2,92
2008,11,3,0
2008,11,4,0
2008,12,1,0
2008,12,2,23
2008,12,3,305
2008,12,4,121
