year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,6
2003,6,2,1
2003,6,3,2
2003,6,4,16
2003,7,1,21
2003,7,2,77
2003,7,3,86
2003,7,4,5
2003,8,1,47
2003,8,2,21
2003,8,3,14
2003,8,4,6
2003,9,1,5
2003,9,2,10
2003,9,3,245
2003,9,4,6
2003,10,1,2
2003,10,2,8
2003,10,3,0
2003,10,4,16
2003,11,1,6
2003,11,2,12
2003,11,3,6
2003,11,4,3
2003,12,1,634
2003,12,2,43
2003,12,3,6
2003,12,4,45
2004,1,1,62
2004,1,2,61
2004,1,3,15
2004,1,4,614
2004,2,1,164
2004,2,2,79
2004,2,3,2
2004,2,4,314
2004,3,1,32
2004,3,2,2
2004,3,3,104
2004,3,4,1
2004,4,1,0
2004,4,2,8
2004,4,3,0
2004,4,4,6
2004,5,1,3
2004,5,2,11
2004,5,3,6
2004,5,4,15
2004,6,1,2
2004,6,2,5
2004,6,3,11
2004,6,4,9
2004,7,1,0
2004,7,2,11
2004,7,3,6
2004,7,4,19
2004,8,1,3
2004,8,2,274
2004,8,3,7
2004,8,4,9
2004,9,1,532
2004,9,2,69
2004,9,3,283
2004,9,4,380
2004,10,1,0
2004,10,2,2
2004,10,3,39
2004,10,4,0
2004,11,1,3
2004,11,2,15
2004,11,3,9
2004,11,4,12
2004,12,1,42
2004,12,2,5
2004,12,3,339
2004,12,4,148
2005,1,1,119
2005,1,2,94
2005,1,3,728
2005,1,4,1699
2005,2,1,16
2005,2,2,79
2005,2,3,63
2005,2,4,268
2005,3,1,67
2005,3,2,300
2005,3,3,71
2005,3,4,120
2005,4,1,258
2005,4,2,131
2005,4,3,61
2005,4,4,105
2005,5,1,50
2005,5,2,50
2005,5,3,125
2005,5,4,149
2005,6,1,253
2005,6,2,249
2005,6,3,54
2005,6,4,158
2005,7,1,166
2005,7,2,469
2005,7,3,177
2005,7,4,127
2005,8,1,68
2005,8,2,87
2005,8,3,148
2005,8,4,358
2005,9,1,191
2005,9,2,136
2005,9,3,68
2005,9,4,24
2005,10,1,6
2005,10,2,10
2005,10,3,19
2005,10,4,520
2005,11,1,5
2005,11,2,9
2005,11,3,47
2005,11,4,0
2005,12,1,53
2005,12,2,266
2005,12,3,14
2005,12,4,21
2006,1,1,53
2006,1,2,75
2006,1,3,163
2006,1,4,43
2006,2,1,114
2006,2,2,494
2006,2,3,123
2006,2,4,36
2006,3,1,43
2006,3,2,14
2006,3,3,16
2006,3,4,2
2006,4,1,0
2006,4,2,0
2006,4,3,36
2006,4,4,26
2006,5,1,26
2006,5,2,6
2006,5,3,8
2006,5,4,13
2006,6,1,20
2006,6,2,10
2006,6,3,10
2006,6,4,11
2006,7,1,5
2006,7,2,22
2006,7,3,6
2006,7,4,19
2006,8,1,4
2006,8,2,19
2006,8,3,10
2006,8,4,112
2006,9,1,11
2006,9,2,0
2006,9,3,55
2006,9,4,3
2006,10,1,2
2006,10,2,12
2006,10,3,88
2006,10,4,51
2006,11,1,26
2006,11,2,37
2006,11,3,14
2006,11,4,22
2006,12,1,31
2006,12,2,52
2006,12,3,47
2006,12,4,9
2007,1,1,40
2007,1,2,41
2007,1,3,166
2007,1,4,17
2007,2,1,168
2007,2,2,418
2007,2,3,16
2007,2,4,114
2007,3,1,32
2007,3,2,29
2007,3,3,400
2007,3,4,0
2007,4,1,5
2007,4,2,10
2007,4,3,12
2007,4,4,6
2007,5,1,2
2007,5,2,1
2007,5,3,17
2007,5,4,3
2007,6,1,17
2007,6,2,12
2007,6,3,5
2007,6,4,29
2007,7,1,0
2007,7,2,20
2007,7,3,13
2007,7,4,11
2007,8,1,8
2007,8,2,4
2007,8,3,5
2007,8,4,10
2007,9,1,0
2007,9,2,27
2007,9,3,2
2007,9,4,0
2007,10,1,2
2007,10,2,32
2007,10,3,60
2007,10,4,12
2007,11,1,33
2007,11,2,2
2007,11,3,4
2007,11,4,27
2007,12,1,125
2007,12,2,191
2007,12,3,121
2007,12,4,31
2008,1,1,16
2008,1,2,124
2008,1,3,572
2008,1,4,138
2008,2,1,87
2008,2,2,84
2008,2,3,130
2008,2,4,22
2008,3,1,103
2008,3,2,90
2008,3,3,9
2008,3,4,0
2008,4,1,9
2008,4,2,10
2008,4,3,10
2008,4,4,2
2008,5,1,2
2008,5,2,0
2008,5,3,4
2008,5,4,1
2008,6,1,0
2008,6,2,16
2008,6,3,15
2008,6,4,20
2008,7,1,40
2008,7,2,153
2008,7,3,41
2008,7,4,47
2008,8,1,3
2008,8,2,54
2008,8,3,60
2008,8,4,3
2008,9,1,79
2008,9,2,55
2008,9,3,19
2008,9,4,0
2008,10,1,0
2008,10,2,13
2008,10,3,1
2008,10,4,0
2008,11,1,1
2008,11,2,8
2008,11,3,0
2008,11,4,1
2008,12,1,2
2008,12,2,23
2008,12,3,172
2008,12,4,44
