year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,13
2003,6,2,86
2003,6,3,14
2003,6,4,35
2003,7,1,22
2003,7,2,59
2003,7,3,71
2003,7,4,16
2003,8,1,33
2003,8,2,6
2003,8,3,12
2003,8,4,52
2003,9,1,8
2003,9,2,40
2003,9,3,92
2003,9,4,30
2003,10,1,2
2003,10,2,14
2003,10,3,3
2003,10,4,28
2003,11,1,28
2003,11,2,30
2003,11,3,78
2003,11,4,17
2003,12,1,49
2003,12,2,58
2003,12,3,8
2003,12,4,7
2004,1,1,23
2004,1,2,92
2004,1,3,3
2004,1,4,264
2004,2,1,63
2004,2,2,76
2004,2,3,14
2004,2,4,111
2004,3,1,48
2004,3,2,3
2004,3,3,2
2004,3,4,1
2004,4,1,0
2004,4,2,22
2004,4,3,3
2004,4,4,23
2004,5,1,20
2004,5,2,32
2004,5,3,4
2004,5,4,36
2004,6,1,84
2004,6,2,55
2004,6,3,68
2004,6,4,24
2004,7,1,2
2004,7,2,8
2004,7,3,4
2004,7,4,87
2004,8,1,1
2004,8,2,83
2004,8,3,52
2004,8,4,33
2004,9,1,245
2004,9,2,126
2004,9,3,436
2004,9,4,259
2004,10,1,20
2004,10,2,3
2004,10,3,52
2004,10,4,69
2004,11,1,26
2004,11,2,48
2004,11,3,70
2004,11,4,47
2004,12,1,44
2004,12,2,31
2004,12,3,106
2004,12,4,81
2005,1,1,98
2005,1,2,143
2005,1,3,168
2005,1,4,848
2005,2,1,82
2005,2,2,324
2005,2,3,37
2005,2,4,63
2005,3,1,23
2005,3,2,19
2005,3,3,42
2005,3,4,56
2005,4,1,59
2005,4,2,6
2005,4,3,70
2005,4,4,77
2005,5,1,3
2005,5,2,9
2005,5,3,80
2005,5,4,2
2005,6,1,41
2005,6,2,58
2005,6,3,15
2005,6,4,10
2005,7,1,56
2005,7,2,265
2005,7,3,19
2005,7,4,14
2005,8,1,2
2005,8,2,23
2005,8,3,24
2005,8,4,282
2005,9,1,19
2005,9,2,55
2005,9,3,63
2005,9,4,73
2005,10,1,14
2005,10,2,10
2005,10,3,21
2005,10,4,75
2005,11,1,12
2005,11,2,11
2005,11,3,6
2005,11,4,12
2005,12,1,27
2005,12,2,189
2005,12,3,20
2005,12,4,22
2006,1,1,74
2006,1,2,60
2006,1,3,56
2006,1,4,7
2006,2,1,25
2006,2,2,48
2006,2,3,50
2006,2,4,1
2006,3,1,12
2006,3,2,16
2006,3,3,7
2006,3,4,1
2006,4,1,13
2006,4,2,2
2006,4,3,20
2006,4,4,5
2006,5,1,0
2006,5,2,18
2006,5,3,3
2006,5,4,4
2006,6,1,4
2006,6,2,12
2006,6,3,40
2006,6,4,15
2006,7,1,7
2006,7,2,0
2006,7,3,14
2006,7,4,0
2006,8,1,3
2006,8,2,5
2006,8,3,12
2006,8,4,42
2006,9,1,31
2006,9,2,1
2006,9,3,16
2006,9,4,2
2006,10,1,5
2006,10,2,12
2006,10,3,34
2006,10,4,9
2006,11,1,5
2006,11,2,21
2006,11,3,9
2006,11,4,59
2006,12,1,55
2006,12,2,91
2006,12,3,35
2006,12,4,5
2007,1,1,64
2007,1,2,189
2007,1,3,196
2007,1,4,41
2007,2,1,244
2007,2,2,209
2007,2,3,32
2007,2,4,64
2007,3,1,173
2007,3,2,7
2007,3,3,97
2007,3,4,5
2007,4,1,37
2007,4,2,83
2007,4,3,31
2007,4,4,13
2007,5,1,6
2007,5,2,18
2007,5,3,4
2007,5,4,7
2007,6,1,12
2007,6,2,146
2007,6,3,18
2007,6,4,43
2007,7,1,0
2007,7,2,34
2007,7,3,9
2007,7,4,3
2007,8,1,5
2007,8,2,5
2007,8,3,18
2007,8,4,67
2007,9,1,3
2007,9,2,31
2007,9,3,3
2007,9,4,2
2007,10,1,5
2007,10,2,8
2007,10,3,111
2007,10,4,13
2007,11,1,0
2007,11,2,4
2007,11,3,19
2007,11,4,18
2007,12,1,66
2007,12,2,175
2007,12,3,141
2007,12,4,83
2008,1,1,28
2008,1,2,37
2008,1,3,837
2008,1,4,87
2008,2,1,106
2008,2,2,79
2008,2,3,121
2008,2,4,46
2008,3,1,66
2008,3,2,75
2008,3,3,22
2008,3,4,3
2008,4,1,17
2008,4,2,0
2008,4,3,0
2008,4,4,0
2008,5,1,0
2008,5,2,0
2008,5,3,0
2008,5,4,0
2008,6,1,0
2008,6,2,3
2008,6,3,2
2008,6,4,0
2008,7,1,6
2008,7,2,9
2008,7,3,28
2008,7,4,16
2008,8,1,32
2008,8,2,2
2008,8,3,88
2008,8,4,10
2008,9,1,134
2008,9,2,39
2008,9,3,1
2008,9,4,0
2008,10,1,0
2008,10,2,16
2008,10,3,0
2008,10,4,3
2008,11,1,0
2008,11,2,19
2008,11,3,0
2008,11,4,14
2008,12,1,10
2008,12,2,40
2008,12,3,198
2008,12,4,89
