year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,3
2003,6,2,0
2003,6,3,1
2003,6,4,1
2003,7,1,1
2003,7,2,2
2003,7,3,3
2003,7,4,7
2003,8,1,0
2003,8,2,2
2003,8,3,2
2003,8,4,1
2003,9,1,2
2003,9,2,3
2003,9,3,22
2003,9,4,0
2003,10,1,0
2003,10,2,5
2003,10,3,24
2003,10,4,65
2003,11,1,1
2003,11,2,7
2003,11,3,5
2003,11,4,0
2003,12,1,63
2003,12,2,9
2003,12,3,2
2003,12,4,3
2004,1,1,30
2004,1,2,39
2004,1,3,10
2004,1,4,32
2004,2,1,12
2004,2,2,2
2004,2,3,6
2004,2,4,10
2004,3,1,6
2004,3,2,10
2004,3,3,48
2004,3,4,6
2004,4,1,1
2004,4,2,2
2004,4,3,0
2004,4,4,5
2004,5,1,2
2004,5,2,7
2004,5,3,0
2004,5,4,4
2004,6,1,0
2004,6,2,2
2004,6,3,1
2004,6,4,0
2004,7,1,0
2004,7,2,1
2004,7,3,4
2004,7,4,3
2004,8,1,0
2004,8,2,14
2004,8,3,4
2004,8,4,3
2004,9,1,49
2004,9,2,6
2004,9,3,4
2004,9,4,23
2004,10,1,12
2004,10,2,24
2004,10,3,5
2004,10,4,6
2004,11,1,3
2004,11,2,6
2004,11,3,12
2004,11,4,2
2004,12,1,3
2004,12,2,54
2004,12,3,53
2004,12,4,35
2005,1,1,37
2005,1,2,35
2005,1,3,88
2005,1,4,34
2005,2,1,4
2005,2,2,15
2005,2,3,13
2005,2,4,11
2005,3,1,3
2005,3,2,16
2005,3,3,3
2005,3,4,1
2005,4,1,2
2005,4,2,17
2005,4,3,0
2005,4,4,1
2005,5,1,2
2005,5,2,1
2005,5,3,6
2005,5,4,0
2005,6,1,1
2005,6,2,4
2005,6,3,0
2005,6,4,3
2005,7,1,2
2005,7,2,7
2005,7,3,7
2005,7,4,2
2005,8,1,2
2005,8,2,2
2005,8,3,3
2005,8,4,23
2005,9,1,11
2005,9,2,2
2005,9,3,20
2005,9,4,12
2005,10,1,3
2005,10,2,8
2005,10,3,9
2005,10,4,30
2005,11,1,1
2005,11,2,27
2005,11,3,1
2005,11,4,0
2005,12,1,10
2005,12,2,33
2005,12,3,22
2005,12,4,12
2006,1,1,13
2006,1,2,26
2006,1,3,12
2006,1,4,7
2006,2,1,21
2006,2,2,74
2006,2,3,6
2006,2,4,12
2006,3,1,4
2006,3,2,8
2006,3,3,5
2006,3,4,2
2006,4,1,8
2006,4,2,1
2006,4,3,2
2006,4,4,5
2006,5,1,1
2006,5,2,3
2006,5,3,1
2006,5,4,2
2006,6,1,3
2006,6,2,0
2006,6,3,5
2006,6,4,6
2006,7,1,3
2006,7,2,4
2006,7,3,9
2006,7,4,3
2006,8,1,5
2006,8,2,2
2006,8,3,6
2006,8,4,16
2006,9,1,9
2006,9,2,16
2006,9,3,7
2006,9,4,17
2006,10,1,9
2006,10,2,29
2006,10,3,10
2006,10,4,15
2006,11,1,6
2006,11,2,8
2006,11,3,37
2006,11,4,35
2006,12,1,12
2006,12,2,43
2006,12,3,73
2006,12,4,38
2007,1,1,15
2007,1,2,44
2007,1,3,28
2007,1,4,8
2007,2,1,26
2007,2,2,69
2007,2,3,8
2007,2,4,43
2007,3,1,4
2007,3,2,24
2007,3,3,81
2007,3,4,14
2007,4,1,7
2007,4,2,17
2007,4,3,0
2007,4,4,13
2007,5,1,6
2007,5,2,2
2007,5,3,2
2007,5,4,2
2007,6,1,11
2007,6,2,1
2007,6,3,3
2007,6,4,14
2007,7,1,6
2007,7,2,1
2007,7,3,1
2007,7,4,8
2007,8,1,2
2007,8,2,4
2007,8,3,7
2007,8,4,4
2007,9,1,1
2007,9,2,5
2007,9,3,1
2007,9,4,2
2007,10,1,2
2007,10,2,4
2007,10,3,10
2007,10,4,9
2007,11,1,10
2007,11,2,6
2007,11,3,23
2007,11,4,3
2007,12,1,35
2007,12,2,39
2007,12,3,10
2007,12,4,13
2008,1,1,31
2008,1,2,29
2008,1,3,9
2008,1,4,20
2008,2,1,36
2008,2,2,19
2008,2,3,32
2008,2,4,9
2008,3,1,24
2008,3,2,10
2008,3,3,23
2008,3,4,15
2008,4,1,6
2008,4,2,3
2008,4,3,3
2008,4,4,0
2008,5,1,2
2008,5,2,1
2008,5,3,4
2008,5,4,2
2008,6,1,4
2008,6,2,9
2008,6,3,7
2008,6,4,2
2008,7,1,3
2008,7,2,0
2008,7,3,4
2008,7,4,6
2008,8,1,6
2008,8,2,4
2008,8,3,3
2008,8,4,1
2008,9,1,8
2008,9,2,45
2008,9,3,8
2008,9,4,1
2008,10,1,0
2008,10,2,3
2008,10,3,9
2008,10,4,33
2008,11,1,0
2008,11,2,4
2008,11,3,13
2008,11,4,14
2008,12,1,26
2008,12,2,11
2008,12,3,67
2008,12,4,46
