year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,1
2003,6,2,3
2003,6,3,0
2003,6,4,0
2003,7,1,55
2003,7,2,38
2003,7,3,24
2003,7,4,5
2003,8,1,80
2003,8,2,6
2003,8,3,11
2003,8,4,4
2003,9,1,1
2003,9,2,1
2003,9,3,178
2003,9,4,4
2003,10,1,0
2003,10,2,0
2003,10,3,1
2003,10,4,12
2003,11,1,8
2003,11,2,14
2003,11,3,17
2003,11,4,2
2003,12,1,201
2003,12,2,40
2003,12,3,2
2003,12,4,13
2004,1,1,78
2004,1,2,60
2004,1,3,5
2004,1,4,180
2004,2,1,5
2004,2,2,8
2004,2,3,0
2004,2,4,14
2004,3,1,30
2004,3,2,4
2004,3,3,31
2004,3,4,4
2004,4,1,4
2004,4,2,5
2004,4,3,6
2004,4,4,2
2004,5,1,1
2004,5,2,14
2004,5,3,9
2004,5,4,69
2004,6,1,4
2004,6,2,5
2004,6,3,9
2004,6,4,4
2004,7,1,6
2004,7,2,4
2004,7,3,15
2004,7,4,3
2004,8,1,0
2004,8,2,77
2004,8,3,12
2004,8,4,14
2004,9,1,264
2004,9,2,27
2004,9,3,40
2004,9,4,136
2004,10,1,0
2004,10,2,0
2004,10,3,10
2004,10,4,5
2004,11,1,7
2004,11,2,5
2004,11,3,3
2004,11,4,9
2004,12,1,11
2004,12,2,23
2004,12,3,41
2004,12,4,38
2005,1,1,136
2005,1,2,75
2005,1,3,497
2005,1,4,52
2005,2,1,6
2005,2,2,10
2005,2,3,11
2005,2,4,25
2005,3,1,12
2005,3,2,33
2005,3,3,6
2005,3,4,12
2005,4,1,8
2005,4,2,409
2005,4,3,27
2005,4,4,10
2005,5,1,1
2005,5,2,12
2005,5,3,22
2005,5,4,6
2005,6,1,12
2005,6,2,10
2005,6,3,7
2005,6,4,15
2005,7,1,10
2005,7,2,7
2005,7,3,32
2005,7,4,27
2005,8,1,0
2005,8,2,22
2005,8,3,21
2005,8,4,96
2005,9,1,120
2005,9,2,29
2005,9,3,55
2005,9,4,21
2005,10,1,13
2005,10,2,65
2005,10,3,7
2005,10,4,80
2005,11,1,0
2005,11,2,11
2005,11,3,9
2005,11,4,3
2005,12,1,1
2005,12,2,305
2005,12,3,30
2005,12,4,7
2006,1,1,14
2006,1,2,7
2006,1,3,78
2006,1,4,18
2006,2,1,17
2006,2,2,318
2006,2,3,18
2006,2,4,7
2006,3,1,4
2006,3,2,32
2006,3,3,6
2006,3,4,8
2006,4,1,32
2006,4,2,10
2006,4,3,8
2006,4,4,3
2006,5,1,9
2006,5,2,7
2006,5,3,11
2006,5,4,94
2006,6,1,5
2006,6,2,7
2006,6,3,24
2006,6,4,14
2006,7,1,1
2006,7,2,15
2006,7,3,108
2006,7,4,20
2006,8,1,36
2006,8,2,3
2006,8,3,11
2006,8,4,27
2006,9,1,8
2006,9,2,24
2006,9,3,84
2006,9,4,4
2006,10,1,123
2006,10,2,9
2006,10,3,6
2006,10,4,80
2006,11,1,1
2006,11,2,19
2006,11,3,10
2006,11,4,75
2006,12,1,386
2006,12,2,39
2006,12,3,1244
2006,12,4,217
2007,1,1,3
2007,1,2,125
2007,1,3,78
2007,1,4,4
2007,2,1,67
2007,2,2,628
2007,2,3,5
2007,2,4,524
2007,3,1,63
2007,3,2,5
2007,3,3,322
2007,3,4,11
2007,4,1,38
2007,4,2,125
2007,4,3,4
2007,4,4,22
2007,5,1,3
2007,5,2,14
2007,5,3,8
2007,5,4,21
2007,6,1,60
2007,6,2,11
2007,6,3,39
2007,6,4,57
2007,7,1,2
2007,7,2,20
2007,7,3,65
2007,7,4,46
2007,8,1,18
2007,8,2,68
2007,8,3,162
2007,8,4,66
2007,9,1,2
2007,9,2,7
2007,9,3,1
2007,9,4,11
2007,10,1,4
2007,10,2,15
2007,10,3,18
2007,10,4,9
2007,11,1,7
2007,11,2,4
2007,11,3,6
2007,11,4,6
2007,12,1,134
2007,12,2,324
2007,12,3,117
2007,12,4,205
2008,1,1,140
2008,1,2,89
2008,1,3,18
2008,1,4,119
2008,2,1,474
2008,2,2,66
2008,2,3,177
2008,2,4,24
2008,3,1,32
2008,3,2,35
2008,3,3,162
2008,3,4,43
2008,4,1,9
2008,4,2,23
2008,4,3,4
2008,4,4,102
2008,5,1,37
2008,5,2,5
2008,5,3,1
2008,5,4,14
2008,6,1,22
2008,6,2,182
2008,6,3,38
2008,6,4,18
2008,7,1,32
2008,7,2,49
2008,7,3,35
2008,7,4,42
2008,8,1,123
2008,8,2,36
2008,8,3,20
2008,8,4,10
2008,9,1,26
2008,9,2,88
2008,9,3,1
2008,9,4,0
2008,10,1,6
2008,10,2,4
2008,10,3,2
2008,10,4,7
2008,11,1,2
2008,11,2,0
2008,11,3,1
2008,11,4,24
2008,12,1,20
2008,12,2,96
2008,12,3,383
2008,12,4,146
