year,mes,semana,valor
2003,1,1,113
2003,1,2,113
2003,1,3,252
2003,1,4,193
2003,2,1,207
2003,2,2,205
2003,2,3,1079
2003,2,4,240
2003,3,1,195
2003,3,2,80
2003,3,3,171
2003,3,4,116
2003,4,1,99
2003,4,2,32
2003,4,3,33
2003,4,4,25
2003,5,1,163
2003,5,2,79
2003,5,3,41
2003,5,4,33
2003,6,1,49
2003,6,2,79
2003,6,3,24
2003,6,4,58
2003,7,1,68
2003,7,2,170
2003,7,3,180
2003,7,4,42
2003,8,1,133
2003,8,2,224
2003,8,3,68
2003,8,4,63
2003,9,1,85
2003,9,2,121
2003,9,3,309
2003,9,4,50
2003,10,1,30
2003,10,2,68
2003,10,3,39
2003,10,4,110
2003,11,1,69
2003,11,2,101
2003,11,3,66
2003,11,4,24
2003,12,1,805
2003,12,2,229
2003,12,3,89
2003,12,4,121
2004,1,1,132
2004,1,2,220
2004,1,3,115
2004,1,4,798
2004,2,1,408
2004,2,2,202
2004,2,3,92
2004,2,4,395
2004,3,1,111
2004,3,2,54
2004,3,3,171
2004,3,4,55
2004,4,1,86
2004,4,2,107
2004,4,3,43
2004,4,4,114
2004,5,1,137
2004,5,2,171
2004,5,3,116
2004,5,4,182
2004,6,1,77
2004,6,2,139
2004,6,3,219
2004,6,4,125
2004,7,1,103
2004,7,2,202
2004,7,3,130
2004,7,4,126
2004,8,1,120
2004,8,2,389
2004,8,3,125
2004,8,4,151
2004,9,1,1126
2004,9,2,235
2004,9,3,711
2004,9,4,1040
2004,10,1,61
2004,10,2,60
2004,10,3,128
2004,10,4,61
2004,11,1,108
2004,11,2,183
2004,11,3,141
2004,11,4,49
2004,12,1,202
2004,12,2,207
2004,12,3,504
2004,12,4,286
2005,1,1,225
2005,1,2,273
2005,1,3,914
2005,1,4,1904
2005,2,1,305
2005,2,2,305
2005,2,3,165
2005,2,4,413
2005,3,1,189
2005,3,2,422
2005,3,3,348
2005,3,4,491
2005,4,1,365
2005,4,2,264
2005,4,3,174
2005,4,4,213
2005,5,1,167
2005,5,2,102
2005,5,3,239
2005,5,4,251
2005,6,1,515
2005,6,2,393
2005,6,3,178
2005,6,4,304
2005,7,1,356
2005,7,2,835
2005,7,3,455
2005,7,4,455
2005,8,1,223
2005,8,2,493
2005,8,3,395
2005,8,4,717
2005,9,1,514
2005,9,2,565
2005,9,3,309
2005,9,4,549
2005,10,1,482
2005,10,2,297
2005,10,3,140
2005,10,4,657
2005,11,1,78
2005,11,2,79
2005,11,3,162
2005,11,4,57
2005,12,1,198
2005,12,2,408
2005,12,3,99
2005,12,4,89
2006,1,1,140
2006,1,2,179
2006,1,3,280
2006,1,4,134
2006,2,1,188
2006,2,2,539
2006,2,3,180
2006,2,4,87
2006,3,1,96
2006,3,2,114
2006,3,3,129
2006,3,4,161
2006,4,1,104
2006,4,2,86
2006,4,3,196
2006,4,4,100
2006,5,1,115
2006,5,2,138
2006,5,3,102
2006,5,4,109
2006,6,1,186
2006,6,2,157
2006,6,3,160
2006,6,4,220
2006,7,1,116
2006,7,2,194
2006,7,3,249
2006,7,4,193
2006,8,1,92
2006,8,2,240
2006,8,3,91
2006,8,4,241
2006,9,1,139
2006,9,2,237
2006,9,3,211
2006,9,4,164
2006,10,1,117
2006,10,2,120
2006,10,3,240
2006,10,4,248
2006,11,1,127
2006,11,2,167
2006,11,3,116
2006,11,4,58
2006,12,1,107
2006,12,2,186
2006,12,3,78
2006,12,4,64
2007,1,1,115
2007,1,2,121
2007,1,3,303
2007,1,4,94
2007,2,1,230
2007,2,2,524
2007,2,3,97
2007,2,4,163
2007,3,1,220
2007,3,2,99
2007,3,3,474
2007,3,4,46
2007,4,1,67
2007,4,2,82
2007,4,3,76
2007,4,4,58
2007,5,1,71
2007,5,2,52
2007,5,3,59
2007,5,4,34
2007,6,1,81
2007,6,2,229
2007,6,3,124
2007,6,4,199
2007,7,1,46
2007,7,2,159
2007,7,3,161
2007,7,4,259
2007,8,1,110
2007,8,2,173
2007,8,3,127
2007,8,4,134
2007,9,1,47
2007,9,2,128
2007,9,3,37
2007,9,4,56
2007,10,1,85
2007,10,2,78
2007,10,3,133
2007,10,4,58
2007,11,1,75
2007,11,2,81
2007,11,3,71
2007,11,4,74
2007,12,1,232
2007,12,2,262
2007,12,3,203
2007,12,4,114
2008,1,1,105
2008,1,2,211
2008,1,3,666
2008,1,4,217
2008,2,1,157
2008,2,2,205
2008,2,3,248
2008,2,4,68
2008,3,1,175
2008,3,2,214
2008,3,3,109
2008,3,4,357
2008,4,1,133
2008,4,2,93
2008,4,3,43
2008,4,4,50
2008,5,1,32
2008,5,2,63
2008,5,3,22
2008,5,4,39
2008,6,1,98
2008,6,2,167
2008,6,3,148
2008,6,4,66
2008,7,1,105
2008,7,2,367
2008,7,3,227
2008,7,4,206
2008,8,1,118
2008,8,2,207
2008,8,3,114
2008,8,4,158
2008,9,1,149
2008,9,2,155
2008,9,3,56
2008,9,4,58
2008,10,1,26
2008,10,2,52
2008,10,3,47
2008,10,4,102
2008,11,1,67
2008,11,2,139
2008,11,3,43
2008,11,4,51
2008,12,1,42
2008,12,2,247
2008,12,3,294
2008,12,4,97
