year,mes,semana,valor
2003,1,1,102
2003,1,2,64
2003,1,3,135
2003,1,4,206
2003,2,1,150
2003,2,2,135
2003,2,3,441
2003,2,4,387
2003,3,1,177
2003,3,2,269
2003,3,3,219
2003,3,4,78
2003,4,1,103
2003,4,2,86
2003,4,3,89
2003,4,4,112
2003,5,1,349
2003,5,2,151
2003,5,3,121
2003,5,4,24
2003,6,1,58
2003,6,2,184
2003,6,3,91
2003,6,4,65
2003,7,1,92
2003,7,2,243
2003,7,3,216
2003,7,4,89
2003,8,1,229
2003,8,2,85
2003,8,3,86
2003,8,4,138
2003,9,1,87
2003,9,2,93
2003,9,3,149
2003,9,4,54
2003,10,1,32
2003,10,2,79
2003,10,3,68
2003,10,4,84
2003,11,1,60
2003,11,2,54
2003,11,3,168
2003,11,4,51
2003,12,1,212
2003,12,2,223
2003,12,3,63
2003,12,4,54
2004,1,1,82
2004,1,2,126
2004,1,3,49
2004,1,4,337
2004,2,1,250
2004,2,2,235
2004,2,3,56
2004,2,4,165
2004,3,1,97
2004,3,2,56
2004,3,3,67
2004,3,4,40
2004,4,1,5
2004,4,2,83
2004,4,3,57
2004,4,4,103
2004,5,1,71
2004,5,2,110
2004,5,3,58
2004,5,4,129
2004,6,1,174
2004,6,2,214
2004,6,3,222
2004,6,4,230
2004,7,1,121
2004,7,2,190
2004,7,3,26
2004,7,4,128
2004,8,1,57
2004,8,2,153
2004,8,3,125
2004,8,4,108
2004,9,1,339
2004,9,2,205
2004,9,3,490
2004,9,4,306
2004,10,1,181
2004,10,2,53
2004,10,3,170
2004,10,4,235
2004,11,1,147
2004,11,2,198
2004,11,3,270
2004,11,4,149
2004,12,1,170
2004,12,2,186
2004,12,3,246
2004,12,4,273
2005,1,1,179
2005,1,2,313
2005,1,3,266
2005,1,4,1261
2005,2,1,298
2005,2,2,545
2005,2,3,295
2005,2,4,222
2005,3,1,176
2005,3,2,160
2005,3,3,357
2005,3,4,508
2005,4,1,350
2005,4,2,146
2005,4,3,225
2005,4,4,229
2005,5,1,131
2005,5,2,132
2005,5,3,326
2005,5,4,140
2005,6,1,463
2005,6,2,300
2005,6,3,175
2005,6,4,171
2005,7,1,326
2005,7,2,721
2005,7,3,335
2005,7,4,382
2005,8,1,307
2005,8,2,600
2005,8,3,628
2005,8,4,646
2005,9,1,135
2005,9,2,182
2005,9,3,243
2005,9,4,156
2005,10,1,173
2005,10,2,185
2005,10,3,112
2005,10,4,179
2005,11,1,59
2005,11,2,78
2005,11,3,235
2005,11,4,97
2005,12,1,159
2005,12,2,385
2005,12,3,109
2005,12,4,100
2006,1,1,172
2006,1,2,175
2006,1,3,245
2006,1,4,95
2006,2,1,134
2006,2,2,71
2006,2,3,185
2006,2,4,84
2006,3,1,58
2006,3,2,113
2006,3,3,104
2006,3,4,42
2006,4,1,138
2006,4,2,25
2006,4,3,178
2006,4,4,110
2006,5,1,35
2006,5,2,101
2006,5,3,30
2006,5,4,59
2006,6,1,147
2006,6,2,139
2006,6,3,173
2006,6,4,198
2006,7,1,212
2006,7,2,171
2006,7,3,161
2006,7,4,189
2006,8,1,275
2006,8,2,189
2006,8,3,93
2006,8,4,209
2006,9,1,129
2006,9,2,236
2006,9,3,146
2006,9,4,172
2006,10,1,47
2006,10,2,56
2006,10,3,343
2006,10,4,228
2006,11,1,123
2006,11,2,130
2006,11,3,96
2006,11,4,98
2006,12,1,167
2006,12,2,285
2006,12,3,112
2006,12,4,105
2007,1,1,208
2007,1,2,263
2007,1,3,372
2007,1,4,162
2007,2,1,514
2007,2,2,345
2007,2,3,172
2007,2,4,95
2007,3,1,303
2007,3,2,100
2007,3,3,264
2007,3,4,119
2007,4,1,275
2007,4,2,220
2007,4,3,92
2007,4,4,80
2007,5,1,68
2007,5,2,64
2007,5,3,58
2007,5,4,25
2007,6,1,69
2007,6,2,430
2007,6,3,182
2007,6,4,401
2007,7,1,197
2007,7,2,400
2007,7,3,291
2007,7,4,173
2007,8,1,176
2007,8,2,230
2007,8,3,254
2007,8,4,394
2007,9,1,64
2007,9,2,216
2007,9,3,168
2007,9,4,101
2007,10,1,48
2007,10,2,69
2007,10,3,246
2007,10,4,158
2007,11,1,14
2007,11,2,65
2007,11,3,36
2007,11,4,109
2007,12,1,114
2007,12,2,190
2007,12,3,203
2007,12,4,123
2008,1,1,52
2008,1,2,58
2008,1,3,877
2008,1,4,141
2008,2,1,138
2008,2,2,108
2008,2,3,240
2008,2,4,125
2008,3,1,194
2008,3,2,159
2008,3,3,91
2008,3,4,43
2008,4,1,108
2008,4,2,1
2008,4,3,1
2008,4,4,10
2008,5,1,10
2008,5,2,19
2008,5,3,18
2008,5,4,10
2008,6,1,31
2008,6,2,46
2008,6,3,41
2008,6,4,30
2008,7,1,90
2008,7,2,347
2008,7,3,129
2008,7,4,138
2008,8,1,102
2008,8,2,103
2008,8,3,137
2008,8,4,185
2008,9,1,138
2008,9,2,50
2008,9,3,20
2008,9,4,11
2008,10,1,4
2008,10,2,25
2008,10,3,10
2008,10,4,41
2008,11,1,13
2008,11,2,74
2008,11,3,14
2008,11,4,56
2008,12,1,59
2008,12,2,199
2008,12,3,279
2008,12,4,251
