year,mes,semana,valor
2003,1,1,1818
2003,1,2,1996
2003,1,3,2101
2003,1,4,2426
2003,2,1,3023
2003,2,2,2108
2003,2,3,11329
2003,2,4,3541
2003,3,1,2940
2003,3,2,1775
2003,3,3,3670
2003,3,4,1169
2003,4,1,3413
2003,4,2,1080
2003,4,3,873
2003,4,4,968
2003,5,1,1581
2003,5,2,1309
2003,5,3,739
2003,5,4,684
2003,6,1,777
2003,6,2,1624
2003,6,3,949
2003,6,4,811
2003,7,1,1501
2003,7,2,2528
2003,7,3,2626
2003,7,4,1180
2003,8,1,3147
2003,8,2,2820
2003,8,3,1315
2003,8,4,1827
2003,9,1,1160
2003,9,2,1957
2003,9,3,3662
2003,9,4,912
2003,10,1,810
2003,10,2,1051
2003,10,3,779
2003,10,4,2451
2003,11,1,2068
2003,11,2,2132
2003,11,3,2527
2003,11,4,680
2003,12,1,5135
2003,12,2,3776
2003,12,3,1386
2003,12,4,1335
2004,1,1,4448
2004,1,2,3347
2004,1,3,2436
2004,1,4,7380
2004,2,1,3828
2004,2,2,2064
2004,2,3,1643
2004,2,4,1946
2004,3,1,2785
2004,3,2,1208
2004,3,3,2381
2004,3,4,1229
2004,4,1,1080
2004,4,2,1220
2004,4,3,1023
2004,4,4,1162
2004,5,1,1312
2004,5,2,3332
2004,5,3,3073
2004,5,4,2664
2004,6,1,1475
2004,6,2,2674
2004,6,3,2803
2004,6,4,1844
2004,7,1,1689
2004,7,2,3259
2004,7,3,2599
2004,7,4,2585
2004,8,1,2008
2004,8,2,3695
2004,8,3,1800
2004,8,4,2660
2004,9,1,6881
2004,9,2,2643
2004,9,3,3439
2004,9,4,5006
2004,10,1,1594
2004,10,2,938
2004,10,3,2124
2004,10,4,2039
2004,11,1,1988
2004,11,2,1749
2004,11,3,2282
2004,11,4,1318
2004,12,1,2244
2004,12,2,2692
2004,12,3,5546
2004,12,4,6622
2005,1,1,4158
2005,1,2,4479
2005,1,3,9808
2005,1,4,6639
2005,2,1,1957
2005,2,2,2480
2005,2,3,2326
2005,2,4,2742
2005,3,1,1916
2005,3,2,3229
2005,3,3,2137
2005,3,4,2887
2005,4,1,2514
2005,4,2,2202
2005,4,3,1505
2005,4,4,1311
2005,5,1,1036
2005,5,2,1777
2005,5,3,1766
2005,5,4,1298
2005,6,1,2818
2005,6,2,2714
2005,6,3,1744
2005,6,4,2640
2005,7,1,2525
