year,mes,semana,valor
2003,1,1,89
2003,1,2,65
2003,1,3,144
2003,1,4,162
2003,2,1,115
2003,2,2,94
2003,2,3,550
2003,2,4,151
2003,3,1,145
2003,3,2,168
2003,3,3,161
2003,3,4,77
2003,4,1,89
2003,4,2,66
2003,4,3,37
2003,4,4,57
2003,5,1,245
2003,5,2,94
2003,5,3,67
2003,5,4,25
2003,6,1,34
2003,6,2,78
2003,6,3,61
2003,6,4,43
2003,7,1,63
2003,7,2,205
2003,7,3,160
2003,7,4,56
2003,8,1,137
2003,8,2,96
2003,8,3,57
2003,8,4,74
2003,9,1,75
2003,9,2,48
2003,9,3,185
2003,9,4,51
2003,10,1,25
2003,10,2,52
2003,10,3,38
2003,10,4,74
2003,11,1,63
2003,11,2,64
2003,11,3,106
2003,11,4,30
2003,12,1,338
2003,12,2,189
2003,12,3,55
2003,12,4,48
2004,1,1,99
2004,1,2,101
2004,1,3,61
2004,1,4,544
2004,2,1,354
2004,2,2,203
2004,2,3,78
2004,2,4,286
2004,3,1,81
2004,3,2,48
2004,3,3,77
2004,3,4,49
2004,4,1,53
2004,4,2,84
2004,4,3,38
2004,4,4,89
2004,5,1,87
2004,5,2,118
2004,5,3,100
2004,5,4,152
2004,6,1,70
2004,6,2,167
2004,6,3,227
2004,6,4,134
2004,7,1,98
2004,7,2,183
2004,7,3,76
2004,7,4,118
2004,8,1,105
2004,8,2,228
2004,8,3,100
2004,8,4,137
2004,9,1,574
2004,9,2,188
2004,9,3,706
2004,9,4,696
2004,10,1,84
2004,10,2,54
2004,10,3,154
2004,10,4,128
2004,11,1,114
2004,11,2,203
2004,11,3,172
2004,11,4,94
2004,12,1,181
2004,12,2,192
2004,12,3,236
2004,12,4,312
2005,1,1,184
2005,1,2,242
2005,1,3,343
2005,1,4,1649
2005,2,1,279
2005,2,2,411
2005,2,3,204
2005,2,4,276
2005,3,1,177
2005,3,2,187
2005,3,3,368
2005,3,4,475
2005,4,1,340
2005,4,2,184
2005,4,3,183
2005,4,4,227
2005,5,1,130
2005,5,2,110
2005,5,3,251
2005,5,4,178
2005,6,1,468
2005,6,2,306
2005,6,3,165
2005,6,4,209
2005,7,1,317
2005,7,2,727
2005,7,3,379
2005,7,4,370
2005,8,1,234
2005,8,2,482
2005,8,3,459
2005,8,4,665
2005,9,1,325
2005,9,2,331
2005,9,3,240
2005,9,4,326
2005,10,1,312
2005,10,2,203
2005,10,3,98
2005,10,4,344
2005,11,1,56
2005,11,2,75
2005,11,3,192
2005,11,4,76
2005,12,1,179
2005,12,2,374
2005,12,3,93
2005,12,4,77
2006,1,1,166
2006,1,2,165
2006,1,3,273
2006,1,4,110
2006,2,1,174
2006,2,2,190
2006,2,3,202
2006,2,4,78
2006,3,1,60
2006,3,2,83
2006,3,3,109
2006,3,4,81
2006,4,1,115
2006,4,2,45
2006,4,3,202
2006,4,4,108
2006,5,1,67
2006,5,2,112
2006,5,3,53
2006,5,4,79
2006,6,1,154
2006,6,2,153
2006,6,3,168
2006,6,4,218
2006,7,1,170
2006,7,2,149
2006,7,3,190
2006,7,4,173
2006,8,1,171
2006,8,2,248
2006,8,3,115
2006,8,4,231
2006,9,1,148
2006,9,2,283
2006,9,3,203
2006,9,4,188
2006,10,1,76
2006,10,2,93
2006,10,3,316
2006,10,4,282
2006,11,1,119
2006,11,2,173
2006,11,3,95
2006,11,4,80
2006,12,1,177
2006,12,2,234
2006,12,3,112
2006,12,4,110
2007,1,1,164
2007,1,2,214
2007,1,3,361
2007,1,4,140
2007,2,1,396
2007,2,2,340
2007,2,3,119
2007,2,4,137
2007,3,1,242
2007,3,2,77
2007,3,3,298
2007,3,4,93
2007,4,1,156
2007,4,2,135
2007,4,3,82
2007,4,4,73
2007,5,1,73
2007,5,2,51
2007,5,3,46
2007,5,4,35
2007,6,1,86
2007,6,2,338
2007,6,3,175
2007,6,4,321
2007,7,1,155
2007,7,2,279
2007,7,3,226
2007,7,4,200
2007,8,1,145
2007,8,2,198
2007,8,3,226
2007,8,4,327
2007,9,1,68
2007,9,2,179
2007,9,3,112
2007,9,4,81
2007,10,1,59
2007,10,2,69
2007,10,3,177
2007,10,4,113
2007,11,1,36
2007,11,2,90
2007,11,3,44
2007,11,4,97
2007,12,1,174
2007,12,2,238
2007,12,3,209
2007,12,4,135
2008,1,1,83
2008,1,2,111
2008,1,3,892
2008,1,4,190
2008,2,1,210
2008,2,2,145
2008,2,3,233
2008,2,4,105
2008,3,1,199
2008,3,2,228
2008,3,3,152
2008,3,4,217
2008,4,1,174
2008,4,2,106
2008,4,3,20
2008,4,4,52
2008,5,1,43
2008,5,2,51
2008,5,3,43
2008,5,4,36
2008,6,1,75
2008,6,2,128
2008,6,3,96
2008,6,4,68
2008,7,1,104
2008,7,2,442
2008,7,3,152
2008,7,4,148
2008,8,1,134
2008,8,2,105
2008,8,3,125
2008,8,4,202
2008,9,1,171
2008,9,2,154
2008,9,3,43
2008,9,4,33
2008,10,1,20
2008,10,2,45
2008,10,3,28
2008,10,4,77
2008,11,1,24
2008,11,2,124
2008,11,3,37
2008,11,4,73
2008,12,1,65
2008,12,2,246
2008,12,3,294
2008,12,4,202
