year,mes,semana,valor
2003,1,1,72
2003,1,2,42
2003,1,3,119
2003,1,4,131
2003,2,1,84
2003,2,2,77
2003,2,3,487
2003,2,4,133
2003,3,1,128
2003,3,2,141
2003,3,3,142
2003,3,4,63
2003,4,1,71
2003,4,2,45
2003,4,3,28
2003,4,4,45
2003,5,1,227
2003,5,2,67
2003,5,3,60
2003,5,4,14
2003,6,1,23
2003,6,2,64
2003,6,3,49
2003,6,4,42
2003,7,1,50
2003,7,2,188
2003,7,3,140
2003,7,4,49
2003,8,1,121
2003,8,2,80
2003,8,3,37
2003,8,4,59
2003,9,1,60
2003,9,2,32
2003,9,3,163
2003,9,4,37
2003,10,1,19
2003,10,2,37
2003,10,3,30
2003,10,4,48
2003,11,1,48
2003,11,2,52
2003,11,3,90
2003,11,4,14
2003,12,1,310
2003,12,2,161
2003,12,3,40
2003,12,4,34
2004,1,1,84
2004,1,2,93
2004,1,3,45
2004,1,4,517
2004,2,1,348
2004,2,2,189
2004,2,3,66
2004,2,4,281
2004,3,1,68
2004,3,2,42
2004,3,3,66
2004,3,4,41
2004,4,1,43
2004,4,2,84
2004,4,3,29
2004,4,4,74
2004,5,1,79
2004,5,2,107
2004,5,3,89
2004,5,4,140
2004,6,1,71
2004,6,2,143
2004,6,3,214
2004,6,4,127
2004,7,1,89
2004,7,2,163
2004,7,3,72
2004,7,4,117
2004,8,1,94
2004,8,2,201
2004,8,3,91
2004,8,4,126
2004,9,1,558
2004,9,2,200
2004,9,3,683
2004,9,4,685
2004,10,1,81
2004,10,2,42
2004,10,3,151
2004,10,4,119
2004,11,1,101
2004,11,2,193
2004,11,3,156
2004,11,4,84
2004,12,1,170
2004,12,2,178
2004,12,3,204
2004,12,4,272
2005,1,1,156
2005,1,2,233
2005,1,3,323
2005,1,4,1644
2005,2,1,261
2005,2,2,415
2005,2,3,179
2005,2,4,280
2005,3,1,132
2005,3,2,179
2005,3,3,339
2005,3,4,473
2005,4,1,319
2005,4,2,166
2005,4,3,167
2005,4,4,207
2005,5,1,118
2005,5,2,92
2005,5,3,246
2005,5,4,164
2005,6,1,452
2005,6,2,283
2005,6,3,153
2005,6,4,204
2005,7,1,305
2005,7,2,733
2005,7,3,346
2005,7,4,364
2005,8,1,214
2005,8,2,451
2005,8,3,493
2005,8,4,645
2005,9,1,317
2005,9,2,320
2005,9,3,244
2005,9,4,302
2005,10,1,304
2005,10,2,179
2005,10,3,101
2005,10,4,308
2005,11,1,46
2005,11,2,68
2005,11,3,178
2005,11,4,58
2005,12,1,173
2005,12,2,362
2005,12,3,73
2005,12,4,68
2006,1,1,147
2006,1,2,159
2006,1,3,255
2006,1,4,96
2006,2,1,161
2006,2,2,181
2006,2,3,181
2006,2,4,63
2006,3,1,50
2006,3,2,74
2006,3,3,93
2006,3,4,66
2006,4,1,96
2006,4,2,34
2006,4,3,182
2006,4,4,96
2006,5,1,56
2006,5,2,103
2006,5,3,35
2006,5,4,63
2006,6,1,144
2006,6,2,142
2006,6,3,157
2006,6,4,216
2006,7,1,158
2006,7,2,134
2006,7,3,178
2006,7,4,158
2006,8,1,165
2006,8,2,241
2006,8,3,97
2006,8,4,235
2006,9,1,116
2006,9,2,263
2006,9,3,190
2006,9,4,168
2006,10,1,68
2006,10,2,76
2006,10,3,283
2006,10,4,267
2006,11,1,116
2006,11,2,162
2006,11,3,75
2006,11,4,81
2006,12,1,150
2006,12,2,218
2006,12,3,84
2006,12,4,91
2007,1,1,162
2007,1,2,170
2007,1,3,327
2007,1,4,104
2007,2,1,393
2007,2,2,303
2007,2,3,100
2007,2,4,116
2007,3,1,219
2007,3,2,70
2007,3,3,252
2007,3,4,72
2007,4,1,136
2007,4,2,129
2007,4,3,54
2007,4,4,55
2007,5,1,52
2007,5,2,42
2007,5,3,27
2007,5,4,24
2007,6,1,77
2007,6,2,319
2007,6,3,159
2007,6,4,325
2007,7,1,128
2007,7,2,267
2007,7,3,211
2007,7,4,176
2007,8,1,129
2007,8,2,177
2007,8,3,230
2007,8,4,287
2007,9,1,33
2007,9,2,164
2007,9,3,96
2007,9,4,64
2007,10,1,47
2007,10,2,49
2007,10,3,160
2007,10,4,83
2007,11,1,25
2007,11,2,79
2007,11,3,29
2007,11,4,75
2007,12,1,142
2007,12,2,199
2007,12,3,146
2007,12,4,112
2008,1,1,76
2008,1,2,69
2008,1,3,892
2008,1,4,175
2008,2,1,176
2008,2,2,119
2008,2,3,218
2008,2,4,89
2008,3,1,192
2008,3,2,203
2008,3,3,119
2008,3,4,197
2008,4,1,152
2008,4,2,102
2008,4,3,11
2008,4,4,35
2008,5,1,33
2008,5,2,32
2008,5,3,32
2008,5,4,22
2008,6,1,57
2008,6,2,107
2008,6,3,74
2008,6,4,56
2008,7,1,96
2008,7,2,420
2008,7,3,141
2008,7,4,153
2008,8,1,100
2008,8,2,86
2008,8,3,106
2008,8,4,187
2008,9,1,143
2008,9,2,134
2008,9,3,32
2008,9,4,21
2008,10,1,14
2008,10,2,39
2008,10,3,12
2008,10,4,52
2008,11,1,19
2008,11,2,102
2008,11,3,28
2008,11,4,53
2008,12,1,39
2008,12,2,208
2008,12,3,232
2008,12,4,175
