year,mes,semana,valor
2003,1,1,24
2003,1,2,14
2003,1,3,22
2003,1,4,21
2003,2,1,51
2003,2,2,36
2003,2,3,228
2003,2,4,48
2003,3,1,46
2003,3,2,17
2003,3,3,77
2003,3,4,18
2003,4,1,91
2003,4,2,33
2003,4,3,11
2003,4,4,6
2003,5,1,23
2003,5,2,21
2003,5,3,6
2003,5,4,15
2003,6,1,15
2003,6,2,49
2003,6,3,18
2003,6,4,27
2003,7,1,22
2003,7,2,45
2003,7,3,64
2003,7,4,27
2003,8,1,119
2003,8,2,263
2003,8,3,38
2003,8,4,28
2003,9,1,30
2003,9,2,26
2003,9,3,62
2003,9,4,14
2003,10,1,11
2003,10,2,19
2003,10,3,14
2003,10,4,18
2003,11,1,35
2003,11,2,38
2003,11,3,27
2003,11,4,8
2003,12,1,94
2003,12,2,66
2003,12,3,26
2003,12,4,33
2004,1,1,59
2004,1,2,59
2004,1,3,51
2004,1,4,162
2004,2,1,80
2004,2,2,35
2004,2,3,47
2004,2,4,41
2004,3,1,34
2004,3,2,29
2004,3,3,55
2004,3,4,32
2004,4,1,33
2004,4,2,22
2004,4,3,27
2004,4,4,14
2004,5,1,19
2004,5,2,69
2004,5,3,121
2004,5,4,45
2004,6,1,26
2004,6,2,98
2004,6,3,61
2004,6,4,30
2004,7,1,28
2004,7,2,88
2004,7,3,58
2004,7,4,38
2004,8,1,27
2004,8,2,61
2004,8,3,17
2004,8,4,58
2004,9,1,67
2004,9,2,26
2004,9,3,28
2004,9,4,54
2004,10,1,13
2004,10,2,16
2004,10,3,29
2004,10,4,34
2004,11,1,19
2004,11,2,23
2004,11,3,20
2004,11,4,20
2004,12,1,40
2004,12,2,35
2004,12,3,68
2004,12,4,55
2005,1,1,55
2005,1,2,69
2005,1,3,200
2005,1,4,47
2005,2,1,105
2005,2,2,33
2005,2,3,65
2005,2,4,54
2005,3,1,64
2005,3,2,52
2005,3,3,33
2005,3,4,43
2005,4,1,33
2005,4,2,30
2005,4,3,39
2005,4,4,25
2005,5,1,14
2005,5,2,35
2005,5,3,11
2005,5,4,17
2005,6,1,46
2005,6,2,61
2005,6,3,25
2005,6,4,82
2005,7,1,33
2005,7,2,97
2005,7,3,111
2005,7,4,154
2005,8,1,68
2005,8,2,96
2005,8,3,116
2005,8,4,64
2005,9,1,27
2005,9,2,29
2005,9,3,69
2005,9,4,33
2005,10,1,24
2005,10,2,41
2005,10,3,25
2005,10,4,73
2005,11,1,20
2005,11,2,26
2005,11,3,23
2005,11,4,10
2005,12,1,21
2005,12,2,70
2005,12,3,17
2005,12,4,28
2006,1,1,49
2006,1,2,32
2006,1,3,39
2006,1,4,30
2006,2,1,16
2006,2,2,64
2006,2,3,51
2006,2,4,42
2006,3,1,21
2006,3,2,52
2006,3,3,19
2006,3,4,14
2006,4,1,30
2006,4,2,13
2006,4,3,15
2006,4,4,20
2006,5,1,13
2006,5,2,26
2006,5,3,13
2006,5,4,27
2006,6,1,31
2006,6,2,15
2006,6,3,110
2006,6,4,34
2006,7,1,13
2006,7,2,20
2006,7,3,46
2006,7,4,48
2006,8,1,38
2006,8,2,22
2006,8,3,19
2006,8,4,42
2006,9,1,24
2006,9,2,62
2006,9,3,55
2006,9,4,101
2006,10,1,77
2006,10,2,47
2006,10,3,68
2006,10,4,136
2006,11,1,20
2006,11,2,42
2006,11,3,23
2006,11,4,36
2006,12,1,73
2006,12,2,41
2006,12,3,40
2006,12,4,65
2007,1,1,39
2007,1,2,81
2007,1,3,80
2007,1,4,31
2007,2,1,95
2007,2,2,235
2007,2,3,214
2007,2,4,192
2007,3,1,179
2007,3,2,68
2007,3,3,143
2007,3,4,81
2007,4,1,76
2007,4,2,70
2007,4,3,37
2007,4,4,43
2007,5,1,33
2007,5,2,76
2007,5,3,23
2007,5,4,28
2007,6,1,61
2007,6,2,228
2007,6,3,144
2007,6,4,282
2007,7,1,37
2007,7,2,70
2007,7,3,155
2007,7,4,210
2007,8,1,52
2007,8,2,53
2007,8,3,83
2007,8,4,21
2007,9,1,7
2007,9,2,25
2007,9,3,13
2007,9,4,25
2007,10,1,22
2007,10,2,37
2007,10,3,27
2007,10,4,16
2007,11,1,11
2007,11,2,22
2007,11,3,16
2007,11,4,15
2007,12,1,76
2007,12,2,150
2007,12,3,253
2007,12,4,168
2008,1,1,142
2008,1,2,50
2008,1,3,75
2008,1,4,88
2008,2,1,211
2008,2,2,124
2008,2,3,93
2008,2,4,62
2008,3,1,121
2008,3,2,79
2008,3,3,137
2008,3,4,61
2008,4,1,47
2008,4,2,79
2008,4,3,15
2008,4,4,32
2008,5,1,40
2008,5,2,19
2008,5,3,7
2008,5,4,9
2008,6,1,35
2008,6,2,106
2008,6,3,49
2008,6,4,33
2008,7,1,40
2008,7,2,36
2008,7,3,49
2008,7,4,42
2008,8,1,45
2008,8,2,39
2008,8,3,11
2008,8,4,2
2008,9,1,10
2008,9,2,49
2008,9,3,8
2008,9,4,10
2008,10,1,1
2008,10,2,3
2008,10,3,8
2008,10,4,13
2008,11,1,18
2008,11,2,21
2008,11,3,16
2008,11,4,15
2008,12,1,14
2008,12,2,43
2008,12,3,274
2008,12,4,102
