year,mes,semana,valor
2003,1,1,21
2003,1,2,34
2003,1,3,38
2003,1,4,51
2003,2,1,89
2003,2,2,54
2003,2,3,737
2003,2,4,54
2003,3,1,244
2003,3,2,23
2003,3,3,1142
2003,3,4,23
2003,4,1,191
2003,4,2,14
2003,4,3,21
2003,4,4,68
2003,5,1,76
2003,5,2,29
2003,5,3,11
2003,5,4,19
2003,6,1,28
2003,6,2,47
2003,6,3,47
2003,6,4,39
2003,7,1,200
2003,7,2,242
2003,7,3,148
2003,7,4,65
2003,8,1,348
2003,8,2,107
2003,8,3,63
2003,8,4,52
2003,9,1,13
2003,9,2,58
2003,9,3,195
2003,9,4,26
2003,10,1,24
2003,10,2,31
2003,10,3,31
2003,10,4,197
2003,11,1,172
2003,11,2,131
2003,11,3,126
2003,11,4,43
2003,12,1,266
2003,12,2,202
2003,12,3,40
2003,12,4,39
2004,1,1,455
2004,1,2,131
2004,1,3,127
2004,1,4,304
2004,2,1,157
2004,2,2,76
2004,2,3,38
2004,2,4,41
2004,3,1,131
2004,3,2,43
2004,3,3,104
2004,3,4,43
2004,4,1,34
2004,4,2,60
2004,4,3,40
2004,4,4,28
2004,5,1,27
2004,5,2,151
2004,5,3,313
2004,5,4,161
2004,6,1,51
2004,6,2,118
2004,6,3,292
2004,6,4,88
2004,7,1,52
2004,7,2,108
2004,7,3,245
2004,7,4,200
2004,8,1,180
2004,8,2,187
2004,8,3,82
2004,8,4,217
2004,9,1,359
2004,9,2,103
2004,9,3,110
2004,9,4,206
2004,10,1,37
2004,10,2,44
2004,10,3,113
2004,10,4,192
2004,11,1,143
2004,11,2,90
2004,11,3,39
2004,11,4,65
2004,12,1,92
2004,12,2,114
2004,12,3,143
2004,12,4,414
2005,1,1,294
2005,1,2,187
2005,1,3,596
2005,1,4,131
2005,2,1,63
2005,2,2,60
2005,2,3,79
2005,2,4,58
2005,3,1,45
2005,3,2,87
2005,3,3,22
2005,3,4,58
2005,4,1,98
2005,4,2,469
2005,4,3,119
2005,4,4,48
2005,5,1,84
2005,5,2,127
2005,5,3,179
2005,5,4,63
2005,6,1,129
2005,6,2,134
2005,6,3,87
2005,6,4,183
2005,7,1,104
2005,7,2,135
2005,7,3,185
2005,7,4,194
2005,8,1,72
2005,8,2,115
2005,8,3,78
2005,8,4,221
2005,9,1,155
2005,9,2,74
2005,9,3,127
2005,9,4,35
2005,10,1,39
2005,10,2,153
2005,10,3,49
2005,10,4,159
2005,11,1,64
2005,11,2,65
2005,11,3,96
2005,11,4,34
2005,12,1,48
2005,12,2,444
2005,12,3,132
2005,12,4,118
2006,1,1,235
2006,1,2,222
2006,1,3,190
2006,1,4,139
2006,2,1,80
2006,2,2,384
2006,2,3,208
2006,2,4,96
2006,3,1,229
2006,3,2,211
2006,3,3,153
2006,3,4,276
2006,4,1,199
2006,4,2,168
2006,4,3,123
2006,4,4,127
2006,5,1,193
2006,5,2,175
2006,5,3,101
2006,5,4,242
2006,6,1,162
2006,6,2,110
2006,6,3,187
2006,6,4,325
2006,7,1,75
2006,7,2,107
2006,7,3,449
2006,7,4,325
2006,8,1,172
2006,8,2,111
2006,8,3,86
2006,8,4,213
2006,9,1,99
2006,9,2,181
2006,9,3,314
2006,9,4,86
2006,10,1,309
2006,10,2,158
2006,10,3,115
2006,10,4,202
2006,11,1,74
2006,11,2,168
2006,11,3,75
2006,11,4,155
2006,12,1,482
2006,12,2,161
2006,12,3,1306
2006,12,4,280
2007,1,1,82
2007,1,2,205
2007,1,3,255
2007,1,4,111
2007,2,1,195
2007,2,2,854
2007,2,3,213
2007,2,4,601
2007,3,1,257
2007,3,2,87
2007,3,3,424
2007,3,4,178
2007,4,1,198
2007,4,2,402
2007,4,3,195
2007,4,4,187
2007,5,1,108
2007,5,2,101
2007,5,3,79
2007,5,4,82
2007,6,1,211
2007,6,2,183
2007,6,3,222
2007,6,4,232
2007,7,1,71
2007,7,2,222
2007,7,3,248
2007,7,4,371
2007,8,1,170
2007,8,2,274
2007,8,3,406
2007,8,4,339
2007,9,1,154
2007,9,2,147
2007,9,3,171
2007,9,4,182
2007,10,1,170
2007,10,2,181
2007,10,3,217
2007,10,4,157
2007,11,1,98
2007,11,2,130
2007,11,3,164
2007,11,4,123
2007,12,1,328
2007,12,2,548
2007,12,3,392
2007,12,4,1004
2008,1,1,486
2008,1,2,348
2008,1,3,229
2008,1,4,418
2008,2,1,662
2008,2,2,265
2008,2,3,385
2008,2,4,207
2008,3,1,219
2008,3,2,188
2008,3,3,293
2008,3,4,234
2008,4,1,144
2008,4,2,164
2008,4,3,150
2008,4,4,224
2008,5,1,199
2008,5,2,250
2008,5,3,123
2008,5,4,146
2008,6,1,223
2008,6,2,490
2008,6,3,189
2008,6,4,302
2008,7,1,122
2008,7,2,252
2008,7,3,483
2008,7,4,471
2008,8,1,397
2008,8,2,204
2008,8,3,147
2008,8,4,96
2008,9,1,100
2008,9,2,159
2008,9,3,42
2008,9,4,38
2008,10,1,44
2008,10,2,61
2008,10,3,33
2008,10,4,100
2008,11,1,86
2008,11,2,64
2008,11,3,53
2008,11,4,51
2008,12,1,56
2008,12,2,207
2008,12,3,519
2008,12,4,218
