year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,69
2003,6,2,58
2003,6,3,142
2003,6,4,20
2003,7,1,47
2003,7,2,4
2003,7,3,45
2003,7,4,137
2003,8,1,196
2003,8,2,87
2003,8,3,34
2003,8,4,78
2003,9,1,46
2003,9,2,5
2003,9,3,7
2003,9,4,87
2003,10,1,1
2003,10,2,46
2003,10,3,2
2003,10,4,2
2003,11,1,34
2003,11,2,51
2003,11,3,9
2003,11,4,2
2003,12,1,7
2003,12,2,40
2003,12,3,9
2003,12,4,4
2004,1,1,6
2004,1,2,3
2004,1,3,30
2004,1,4,7
2004,2,1,8
2004,2,2,2
2004,2,3,2
2004,2,4,23
2004,3,1,10
2004,3,2,6
2004,3,3,11
2004,3,4,9
2004,4,1,4
2004,4,2,55
2004,4,3,1
2004,4,4,3
2004,5,1,47
2004,5,2,8
2004,5,3,1
2004,5,4,11
2004,6,1,99
2004,6,2,11
2004,6,3,122
2004,6,4,14
2004,7,1,43
2004,7,2,66
2004,7,3,198
2004,7,4,16
2004,8,1,181
2004,8,2,38
2004,8,3,51
2004,8,4,79
2004,9,1,89
2004,9,2,5
2004,9,3,18
2004,9,4,18
2004,10,1,5
2004,10,2,3
2004,10,3,34
2004,10,4,4
2004,11,1,10
2004,11,2,3
2004,11,3,10
2004,11,4,6
2004,12,1,14
2004,12,2,3
2004,12,3,16
2004,12,4,6
2005,1,1,8
2005,1,2,10
2005,1,3,12
2005,1,4,4
2005,2,1,0
2005,2,2,3
2005,2,3,7
2005,2,4,8
2005,3,1,5
2005,3,2,9
2005,3,3,42
2005,3,4,19
2005,4,1,6
2005,4,2,4
2005,4,3,2
2005,4,4,11
2005,5,1,115
2005,5,2,3
2005,5,3,9
2005,5,4,91
2005,6,1,37
2005,6,2,19
2005,6,3,185
2005,6,4,43
2005,7,1,23
2005,7,2,49
2005,7,3,23
2005,7,4,77
2005,8,1,184
2005,8,2,80
2005,8,3,4
2005,8,4,76
2005,9,1,113
2005,9,2,37
2005,9,3,9
2005,9,4,24
2005,10,1,23
2005,10,2,16
2005,10,3,4
2005,10,4,14
2005,11,1,8
2005,11,2,12
2005,11,3,12
2005,11,4,6
2005,12,1,9
2005,12,2,11
2005,12,3,7
2005,12,4,5
2006,1,1,11
2006,1,2,12
2006,1,3,10
2006,1,4,6
2006,2,1,27
2006,2,2,5
2006,2,3,12
2006,2,4,9
2006,3,1,9
2006,3,2,17
2006,3,3,64
2006,3,4,3
2006,4,1,14
2006,4,2,5
2006,4,3,11
2006,4,4,3
2006,5,1,4
2006,5,2,58
2006,5,3,10
2006,5,4,41
2006,6,1,77
2006,6,2,2
2006,6,3,13
2006,6,4,133
2006,7,1,45
2006,7,2,34
2006,7,3,123
2006,7,4,25
2006,8,1,9
2006,8,2,99
2006,8,3,41
2006,8,4,70
2006,9,1,107
2006,9,2,29
2006,9,3,48
2006,9,4,5
2006,10,1,4
2006,10,2,8
2006,10,3,7
2006,10,4,11
2006,11,1,9
2006,11,2,23
2006,11,3,10
2006,11,4,12
2006,12,1,11
2006,12,2,11
2006,12,3,23
2006,12,4,7
2007,1,1,16
2007,1,2,19
2007,1,3,11
2007,1,4,10
2007,2,1,8
2007,2,2,11
2007,2,3,12
2007,2,4,7
2007,3,1,13
2007,3,2,7
2007,3,3,38
2007,3,4,1
2007,4,1,12
2007,4,2,62
2007,4,3,8
2007,4,4,6
2007,5,1,28
2007,5,2,8
2007,5,3,28
2007,5,4,10
2007,6,1,24
2007,6,2,95
2007,6,3,136
2007,6,4,44
2007,7,1,169
2007,7,2,17
2007,7,3,48
2007,7,4,84
2007,8,1,20
2007,8,2,15
2007,8,3,10
2007,8,4,13
2007,9,1,25
2007,9,2,13
2007,9,3,23
2007,9,4,14
2007,10,1,5
2007,10,2,12
2007,10,3,13
2007,10,4,9
2007,11,1,5
2007,11,2,9
2007,11,3,10
2007,11,4,8
2007,12,1,8
2007,12,2,12
2007,12,3,14
2007,12,4,5
2008,1,1,9
2008,1,2,7
2008,1,3,10
2008,1,4,11
2008,2,1,9
2008,2,2,40
2008,2,3,16
2008,2,4,7
2008,3,1,20
2008,3,2,15
2008,3,3,32
2008,3,4,12
2008,4,1,26
2008,4,2,6
2008,4,3,1
2008,4,4,6
2008,5,1,5
2008,5,2,28
2008,5,3,22
2008,5,4,26
2008,6,1,33
2008,6,2,25
2008,6,3,211
2008,6,4,9
2008,7,1,91
2008,7,2,56
2008,7,3,12
2008,7,4,101
2008,8,1,8
2008,8,2,105
2008,8,3,83
2008,8,4,17
2008,9,1,5
2008,9,2,12
2008,9,3,1
2008,9,4,56
2008,10,1,4
2008,10,2,42
2008,10,3,4
2008,10,4,6
2008,11,1,4
2008,11,2,9
2008,11,3,4
2008,11,4,9
2008,12,1,8
2008,12,2,18
2008,12,3,17
2008,12,4,10
