year,mes,semana,valor
2003,1,1,1171
2003,1,2,788
2003,1,3,1594
2003,1,4,1290
2003,2,1,1120
2003,2,2,1258
2003,2,3,1818
2003,2,4,1247
2003,3,1,1721
2003,3,2,1510
2003,3,3,1902
2003,3,4,886
2003,4,1,1339
2003,4,2,1375
2003,4,3,1010
2003,4,4,1006
2003,5,1,1722
2003,5,2,1280
2003,5,3,1797
2003,5,4,678
2003,6,1,1136
2003,6,2,1875
2003,6,3,1567
2003,6,4,1141
2003,7,1,1485
2003,7,2,1886
2003,7,3,2162
2003,7,4,1559
2003,8,1,1740
2003,8,2,1835
2003,8,3,1461
2003,8,4,1315
2003,9,1,897
2003,9,2,944
2003,9,3,1116
2003,9,4,655
2003,10,1,757
2003,10,2,1386
2003,10,3,648
2003,10,4,881
2003,11,1,927
2003,11,2,481
2003,11,3,1115
2003,11,4,747
2003,12,1,976
2003,12,2,1353
2003,12,3,1083
2003,12,4,712
2004,1,1,1019
2004,1,2,799
2004,1,3,657
2004,1,4,1111
2004,2,1,1566
2004,2,2,1433
2004,2,3,713
2004,2,4,1106
2004,3,1,781
2004,3,2,606
2004,3,3,448
2004,3,4,579
2004,4,1,519
2004,4,2,1031
2004,4,3,463
2004,4,4,832
2004,5,1,705
2004,5,2,1090
2004,5,3,1201
2004,5,4,1140
2004,6,1,900
2004,6,2,1894
2004,6,3,1922
2004,6,4,2134
2004,7,1,1414
2004,7,2,1708
2004,7,3,1006
2004,7,4,1496
2004,8,1,969
2004,8,2,953
2004,8,3,1236
2004,8,4,1075
2004,9,1,1186
2004,9,2,1095
2004,9,3,859
2004,9,4,749
2004,10,1,1372
2004,10,2,1294
2004,10,3,1790
2004,10,4,1878
2004,11,1,1338
2004,11,2,1530
2004,11,3,2193
2004,11,4,1829
2004,12,1,1301
2004,12,2,1513
2004,12,3,1989
2004,12,4,1582
2005,1,1,1545
2005,1,2,1465
2005,1,3,1331
2005,1,4,1534
2005,2,1,1714
2005,2,2,2002
2005,2,3,1784
2005,2,4,1123
2005,3,1,968
2005,3,2,1316
2005,3,3,1931
2005,3,4,1902
2005,4,1,1704
2005,4,2,896
2005,4,3,880
2005,4,4,1263
2005,5,1,890
2005,5,2,1096
2005,5,3,1561
2005,5,4,1159
2005,6,1,2166
2005,6,2,1842
2005,6,3,1351
2005,6,4,1719
2005,7,1,1826
2005,7,2,2406
2005,7,3,2104
2005,7,4,2060
2005,8,1,1860
2005,8,2,2585
2005,8,3,2327
2005,8,4,1914
2005,9,1,995
2005,9,2,1111
2005,9,3,1319
2005,9,4,947
2005,10,1,1446
2005,10,2,1994
2005,10,3,971
2005,10,4,802
2005,11,1,786
2005,11,2,867
2005,11,3,2069
2005,11,4,1564
2005,12,1,1821
2005,12,2,1804
2005,12,3,1637
2005,12,4,1936
2006,1,1,1591
2006,1,2,1142
2006,1,3,1757
2006,1,4,805
2006,2,1,1368
2006,2,2,1112
2006,2,3,2232
2006,2,4,678
2006,3,1,1060
2006,3,2,1635
2006,3,3,1935
2006,3,4,1188
2006,4,1,1694
2006,4,2,823
2006,4,3,2040
2006,4,4,833
2006,5,1,1352
2006,5,2,2031
2006,5,3,983
2006,5,4,1433
2006,6,1,1258
2006,6,2,2087
2006,6,3,1918
2006,6,4,2272
2006,7,1,2101
2006,7,2,2283
2006,7,3,2696
2006,7,4,2525
2006,8,1,2296
2006,8,2,2504
2006,8,3,1961
2006,8,4,2528
2006,9,1,1728
2006,9,2,3323
2006,9,3,2300
2006,9,4,1708
2006,10,1,1785
2006,10,2,2189
2006,10,3,3534
2006,10,4,2175
2006,11,1,2264
2006,11,2,1960
2006,11,3,1602
2006,11,4,1240
2006,12,1,1142
2006,12,2,1530
2006,12,3,1507
2006,12,4,1455
2007,1,1,1548
2007,1,2,1198
2007,1,3,2231
2007,1,4,1447
2007,2,1,1984
2007,2,2,1764
2007,2,3,2220
2007,2,4,1213
2007,3,1,2081
2007,3,2,1512
2007,3,3,1594
2007,3,4,1143
2007,4,1,1903
2007,4,2,1847
2007,4,3,1248
2007,4,4,1079
2007,5,1,1506
2007,5,2,1180
2007,5,3,1152
2007,5,4,907
2007,6,1,1421
2007,6,2,3140
2007,6,3,2589
2007,6,4,2856
2007,7,1,1486
2007,7,2,3289
2007,7,3,3064
2007,7,4,2792
2007,8,1,2341
2007,8,2,2832
2007,8,3,2620
2007,8,4,2905
2007,9,1,1616
2007,9,2,2306
2007,9,3,2193
2007,9,4,1584
2007,10,1,1788
2007,10,2,1938
2007,10,3,2623
2007,10,4,2184
2007,11,1,844
2007,11,2,1237
2007,11,3,1299
2007,11,4,1861
2007,12,1,1174
2007,12,2,1637
2007,12,3,2578
2007,12,4,2373
2008,1,1,1512
2008,1,2,1038
2008,1,3,1567
2008,1,4,1428
2008,2,1,1468
2008,2,2,1313
2008,2,3,2113
2008,2,4,1468
2008,3,1,1817
2008,3,2,1776
2008,3,3,1549
2008,3,4,1717
2008,4,1,2346
2008,4,2,1281
2008,4,3,727
2008,4,4,817
2008,5,1,760
2008,5,2,1158
2008,5,3,1013
2008,5,4,740
2008,6,1,980
2008,6,2,1782
2008,6,3,1331
2008,6,4,1338
2008,7,1,1212
2008,7,2,2415
2008,7,3,1564
2008,7,4,1813
2008,8,1,1604
2008,8,2,1453
2008,8,3,1038
2008,8,4,1612
2008,9,1,743
2008,9,2,1237
2008,9,3,682
2008,9,4,588
2008,10,1,513
2008,10,2,1465
2008,10,3,880
2008,10,4,1237
2008,11,1,759
2008,11,2,1798
2008,11,3,1111
2008,11,4,1778
2008,12,1,1324
2008,12,2,1925
2008,12,3,2786
2008,12,4,1982
