year,mes,semana,valor
2003,1,1,1180
2003,1,2,739
2003,1,3,1503
2003,1,4,1292
2003,2,1,998
2003,2,2,1139
2003,2,3,1667
2003,2,4,1109
2003,3,1,1405
2003,3,2,1414
2003,3,3,1706
2003,3,4,813
2003,4,1,1206
2003,4,2,1254
2003,4,3,911
2003,4,4,1010
2003,5,1,1484
2003,5,2,1115
2003,5,3,1565
2003,5,4,651
2003,6,1,1002
2003,6,2,1604
2003,6,3,1370
2003,6,4,961
2003,7,1,1247
2003,7,2,1512
2003,7,3,1800
2003,7,4,1297
2003,8,1,1425
2003,8,2,1482
2003,8,3,1181
2003,8,4,970
2003,9,1,759
2003,9,2,772
2003,9,3,976
2003,9,4,599
2003,10,1,694
2003,10,2,1237
2003,10,3,643
2003,10,4,797
2003,11,1,847
2003,11,2,406
2003,11,3,1017
2003,11,4,685
2003,12,1,1019
2003,12,2,1353
2003,12,3,1087
2003,12,4,863
2004,1,1,1072
2004,1,2,800
2004,1,3,712
2004,1,4,1045
2004,2,1,1467
2004,2,2,1429
2004,2,3,705
2004,2,4,1068
2004,3,1,733
2004,3,2,639
2004,3,3,526
2004,3,4,606
2004,4,1,581
2004,4,2,1079
2004,4,3,456
2004,4,4,876
2004,5,1,725
2004,5,2,995
2004,5,3,1170
2004,5,4,1098
2004,6,1,855
2004,6,2,1821
2004,6,3,1773
2004,6,4,2001
2004,7,1,1346
2004,7,2,1769
2004,7,3,1054
2004,7,4,1463
2004,8,1,893
2004,8,2,1016
2004,8,3,1193
2004,8,4,1043
2004,9,1,1167
2004,9,2,1080
2004,9,3,839
2004,9,4,763
2004,10,1,1216
2004,10,2,1191
2004,10,3,1628
2004,10,4,1655
2004,11,1,1262
2004,11,2,1496
2004,11,3,2128
2004,11,4,1803
2004,12,1,1199
2004,12,2,1388
2004,12,3,2016
2004,12,4,1789
2005,1,1,1548
2005,1,2,1412
2005,1,3,1267
2005,1,4,1481
2005,2,1,1535
2005,2,2,1733
2005,2,3,1607
2005,2,4,1043
2005,3,1,899
2005,3,2,1229
2005,3,3,1832
2005,3,4,1799
2005,4,1,1618
2005,4,2,808
2005,4,3,835
2005,4,4,1123
2005,5,1,830
2005,5,2,1038
2005,5,3,1464
2005,5,4,1143
2005,6,1,1997
2005,6,2,1715
2005,6,3,1337
2005,6,4,1610
2005,7,1,1735
2005,7,2,2230
2005,7,3,1942
2005,7,4,1952
2005,8,1,1754
2005,8,2,2446
2005,8,3,2246
2005,8,4,1849
2005,9,1,1134
2005,9,2,1196
2005,9,3,1401
2005,9,4,1004
2005,10,1,1447
2005,10,2,1971
2005,10,3,1040
2005,10,4,835
2005,11,1,803
2005,11,2,916
2005,11,3,1972
2005,11,4,1549
2005,12,1,1687
2005,12,2,1687
2005,12,3,1680
2005,12,4,1908
2006,1,1,1513
2006,1,2,1139
2006,1,3,1609
2006,1,4,721
2006,2,1,1226
2006,2,2,992
2006,2,3,2095
2006,2,4,662
2006,3,1,1023
2006,3,2,1655
2006,3,3,1912
2006,3,4,1228
2006,4,1,1608
2006,4,2,876
2006,4,3,1849
2006,4,4,836
2006,5,1,1266
2006,5,2,1870
2006,5,3,967
2006,5,4,1366
2006,6,1,1273
2006,6,2,2046
2006,6,3,1909
2006,6,4,2188
2006,7,1,1967
2006,7,2,2153
2006,7,3,2498
2006,7,4,2367
2006,8,1,2123
2006,8,2,2314
2006,8,3,1743
2006,8,4,2206
2006,9,1,1676
2006,9,2,2967
2006,9,3,1949
2006,9,4,1488
2006,10,1,1547
2006,10,2,1792
2006,10,3,3111
2006,10,4,1841
2006,11,1,2048
2006,11,2,1773
2006,11,3,1580
2006,11,4,1219
2006,12,1,1204
2006,12,2,1607
2006,12,3,1594
2006,12,4,1543
2007,1,1,1609
2007,1,2,1318
2007,1,3,2158
2007,1,4,1533
2007,2,1,1887
2007,2,2,1825
2007,2,3,2246
2007,2,4,1282
2007,3,1,2095
2007,3,2,1622
2007,3,3,1755
2007,3,4,1333
2007,4,1,1905
2007,4,2,1881
2007,4,3,1313
2007,4,4,1109
2007,5,1,1429
2007,5,2,1188
2007,5,3,1198
2007,5,4,956
2007,6,1,1389
2007,6,2,2996
2007,6,3,2636
2007,6,4,2810
2007,7,1,1508
2007,7,2,3138
2007,7,3,3021
2007,7,4,2794
2007,8,1,2319
2007,8,2,2841
2007,8,3,2498
2007,8,4,2684
2007,9,1,1654
2007,9,2,2210
2007,9,3,2170
