year,mes,semana,valor
2003,1,1,31
2003,1,2,8
2003,1,3,28
2003,1,4,18
2003,2,1,26
2003,2,2,28
2003,2,3,35
2003,2,4,23
2003,3,1,20
2003,3,2,25
2003,3,3,34
2003,3,4,15
2003,4,1,25
2003,4,2,25
2003,4,3,16
2003,4,4,12
2003,5,1,36
2003,5,2,17
2003,5,3,31
2003,5,4,12
2003,6,1,21
2003,6,2,39
2003,6,3,29
2003,6,4,21
2003,7,1,31
2003,7,2,35
2003,7,3,31
2003,7,4,31
2003,8,1,36
2003,8,2,33
2003,8,3,17
2003,8,4,32
2003,9,1,10
2003,9,2,13
2003,9,3,17
2003,9,4,17
2003,10,1,17
2003,10,2,26
2003,10,3,10
2003,10,4,23
2003,11,1,26
2003,11,2,14
2003,11,3,32
2003,11,4,9
2003,12,1,45
2003,12,2,41
2003,12,3,37
2003,12,4,17
2004,1,1,43
2004,1,2,25
2004,1,3,33
2004,1,4,48
2004,2,1,50
2004,2,2,52
2004,2,3,22
2004,2,4,41
2004,3,1,21
2004,3,2,16
2004,3,3,19
2004,3,4,32
2004,4,1,10
2004,4,2,28
2004,4,3,15
2004,4,4,35
2004,5,1,15
2004,5,2,36
2004,5,3,34
2004,5,4,38
2004,6,1,20
2004,6,2,44
2004,6,3,47
2004,6,4,62
2004,7,1,31
2004,7,2,28
2004,7,3,31
2004,7,4,43
2004,8,1,37
2004,8,2,12
2004,8,3,20
2004,8,4,32
2004,9,1,34
2004,9,2,16
2004,9,3,17
2004,9,4,21
2004,10,1,21
2004,10,2,18
2004,10,3,30
2004,10,4,27
2004,11,1,17
2004,11,2,18
2004,11,3,27
2004,11,4,31
2004,12,1,21
2004,12,2,35
2004,12,3,41
2004,12,4,50
2005,1,1,40
2005,1,2,34
2005,1,3,19
2005,1,4,21
2005,2,1,18
2005,2,2,36
2005,2,3,30
2005,2,4,29
2005,3,1,9
2005,3,2,18
2005,3,3,36
2005,3,4,53
2005,4,1,22
2005,4,2,19
2005,4,3,22
2005,4,4,18
2005,5,1,17
2005,5,2,16
2005,5,3,29
2005,5,4,24
2005,6,1,54
2005,6,2,60
2005,6,3,47
2005,6,4,55
2005,7,1,56
2005,7,2,86
2005,7,3,73
2005,7,4,84
2005,8,1,69
2005,8,2,79
2005,8,3,49
2005,8,4,40
2005,9,1,19
2005,9,2,11
2005,9,3,19
2005,9,4,21
2005,10,1,42
2005,10,2,35
2005,10,3,18
2005,10,4,17
2005,11,1,12
2005,11,2,16
2005,11,3,39
2005,11,4,32
2005,12,1,27
2005,12,2,54
2005,12,3,62
2005,12,4,44
2006,1,1,37
2006,1,2,28
2006,1,3,42
2006,1,4,18
2006,2,1,26
2006,2,2,14
2006,2,3,66
2006,2,4,19
2006,3,1,18
2006,3,2,34
2006,3,3,40
2006,3,4,25
2006,4,1,54
2006,4,2,33
2006,4,3,66
2006,4,4,26
2006,5,1,46
2006,5,2,75
2006,5,3,32
2006,5,4,64
2006,6,1,49
2006,6,2,32
2006,6,3,38
2006,6,4,55
2006,7,1,39
2006,7,2,35
2006,7,3,58
2006,7,4,29
2006,8,1,37
2006,8,2,43
2006,8,3,22
2006,8,4,47
2006,9,1,24
2006,9,2,64
2006,9,3,41
2006,9,4,28
2006,10,1,36
2006,10,2,40
2006,10,3,83
2006,10,4,37
2006,11,1,45
2006,11,2,35
2006,11,3,26
2006,11,4,26
2006,12,1,28
2006,12,2,37
2006,12,3,73
2006,12,4,72
2007,1,1,54
2007,1,2,38
2007,1,3,49
2007,1,4,33
2007,2,1,37
2007,2,2,49
2007,2,3,39
2007,2,4,32
2007,3,1,35
2007,3,2,25
2007,3,3,39
2007,3,4,52
2007,4,1,48
2007,4,2,54
2007,4,3,32
2007,4,4,48
2007,5,1,35
2007,5,2,35
2007,5,3,38
2007,5,4,65
2007,6,1,48
2007,6,2,66
2007,6,3,76
2007,6,4,71
2007,7,1,37
2007,7,2,66
2007,7,3,65
2007,7,4,62
2007,8,1,59
2007,8,2,53
2007,8,3,50
2007,8,4,53
2007,9,1,22
2007,9,2,48
2007,9,3,14
2007,9,4,18
2007,10,1,32
2007,10,2,34
2007,10,3,37
2007,10,4,41
2007,11,1,21
2007,11,2,21
2007,11,3,48
2007,11,4,44
2007,12,1,35
2007,12,2,49
2007,12,3,77
2007,12,4,69
2008,1,1,32
2008,1,2,37
2008,1,3,44
2008,1,4,41
2008,2,1,34
2008,2,2,50
2008,2,3,60
2008,2,4,39
2008,3,1,53
2008,3,2,50
2008,3,3,53
2008,3,4,56
2008,4,1,67
2008,4,2,32
2008,4,3,27
2008,4,4,31
2008,5,1,49
2008,5,2,48
2008,5,3,38
2008,5,4,30
2008,6,1,43
2008,6,2,50
2008,6,3,62
2008,6,4,58
2008,7,1,44
2008,7,2,68
2008,7,3,39
2008,7,4,56
2008,8,1,44
2008,8,2,38
2008,8,3,48
2008,8,4,43
2008,9,1,8
2008,9,2,22
2008,9,3,13
2008,9,4,18
2008,10,1,15
2008,10,2,22
2008,10,3,16
2008,10,4,34
2008,11,1,14
2008,11,2,34
2008,11,3,16
2008,11,4,24
2008,12,1,15
2008,12,2,29
2008,12,3,41
2008,12,4,41
