year,mes,semana,valor
2003,1,1,561
2003,1,2,222
2003,1,3,678
2003,1,4,533
2003,2,1,460
2003,2,2,583
2003,2,3,943
2003,2,4,569
2003,3,1,528
2003,3,2,563
2003,3,3,926
2003,3,4,240
2003,4,1,305
2003,4,2,420
2003,4,3,221
2003,4,4,199
2003,5,1,704
2003,5,2,364
2003,5,3,695
2003,5,4,215
2003,6,1,331
2003,6,2,769
2003,6,3,580
2003,6,4,389
2003,7,1,418
2003,7,2,820
2003,7,3,811
2003,7,4,497
2003,8,1,764
2003,8,2,750
2003,8,3,538
2003,8,4,596
2003,9,1,344
2003,9,2,323
2003,9,3,420
2003,9,4,200
2003,10,1,244
2003,10,2,683
2003,10,3,297
2003,10,4,466
2003,11,1,496
2003,11,2,303
2003,11,3,476
2003,11,4,260
2003,12,1,953
2003,12,2,968
2003,12,3,686
2003,12,4,499
2004,1,1,624
2004,1,2,530
2004,1,3,505
2004,1,4,830
2004,2,1,1276
2004,2,2,1308
2004,2,3,708
2004,2,4,1145
2004,3,1,428
2004,3,2,493
2004,3,3,528
2004,3,4,598
2004,4,1,432
2004,4,2,875
2004,4,3,334
2004,4,4,446
2004,5,1,739
2004,5,2,965
2004,5,3,1066
2004,5,4,1192
2004,6,1,642
2004,6,2,1459
2004,6,3,1500
2004,6,4,1481
2004,7,1,933
2004,7,2,1105
2004,7,3,775
2004,7,4,1325
2004,8,1,943
2004,8,2,876
2004,8,3,861
2004,8,4,929
2004,9,1,1008
2004,9,2,722
2004,9,3,806
2004,9,4,639
2004,10,1,505
2004,10,2,693
2004,10,3,1165
2004,10,4,1009
2004,11,1,670
2004,11,2,1021
2004,11,3,1408
2004,11,4,1153
2004,12,1,778
2004,12,2,1020
2004,12,3,1232
2004,12,4,1447
2005,1,1,859
2005,1,2,739
2005,1,3,760
2005,1,4,839
2005,2,1,619
2005,2,2,718
2005,2,3,1024
2005,2,4,690
2005,3,1,413
2005,3,2,626
2005,3,3,1441
2005,3,4,1615
2005,4,1,857
2005,4,2,372
2005,4,3,607
2005,4,4,857
2005,5,1,398
2005,5,2,421
2005,5,3,783
2005,5,4,664
2005,6,1,1251
2005,6,2,982
2005,6,3,839
2005,6,4,1121
2005,7,1,981
2005,7,2,1807
2005,7,3,1565
2005,7,4,1639
2005,8,1,1153
2005,8,2,1766
2005,8,3,1516
2005,8,4,929
2005,9,1,346
2005,9,2,507
2005,9,3,500
2005,9,4,452
2005,10,1,727
2005,10,2,997
2005,10,3,425
2005,10,4,363
2005,11,1,265
2005,11,2,315
2005,11,3,1040
2005,11,4,806
2005,12,1,838
2005,12,2,1020
2005,12,3,746
2005,12,4,1002
2006,1,1,986
2006,1,2,585
2006,1,3,1017
2006,1,4,351
2006,2,1,627
2006,2,2,371
2006,2,3,1231
2006,2,4,324
2006,3,1,561
2006,3,2,609
2006,3,3,1017
2006,3,4,597
2006,4,1,635
2006,4,2,319
2006,4,3,851
2006,4,4,312
2006,5,1,582
2006,5,2,750
2006,5,3,396
2006,5,4,590
2006,6,1,632
2006,6,2,736
2006,6,3,872
2006,6,4,1204
2006,7,1,672
2006,7,2,715
2006,7,3,963
2006,7,4,779
2006,8,1,743
2006,8,2,1073
2006,8,3,644
2006,8,4,831
2006,9,1,610
2006,9,2,1538
2006,9,3,894
2006,9,4,794
2006,10,1,721
2006,10,2,830
2006,10,3,1894
2006,10,4,1005
2006,11,1,1057
2006,11,2,805
2006,11,3,648
2006,11,4,429
2006,12,1,336
2006,12,2,615
2006,12,3,718
2006,12,4,785
2007,1,1,841
2007,1,2,420
2007,1,3,692
2007,1,4,299
2007,2,1,489
2007,2,2,502
2007,2,3,667
2007,2,4,367
2007,3,1,738
2007,3,2,491
2007,3,3,513
2007,3,4,452
2007,4,1,637
2007,4,2,549
2007,4,3,317
2007,4,4,298
2007,5,1,398
2007,5,2,487
2007,5,3,266
2007,5,4,303
2007,6,1,420
2007,6,2,1260
2007,6,3,1013
2007,6,4,1183
2007,7,1,576
2007,7,2,1224
2007,7,3,1376
2007,7,4,1242
2007,8,1,774
2007,8,2,1124
2007,8,3,993
2007,8,4,1128
2007,9,1,260
2007,9,2,836
2007,9,3,390
2007,9,4,332
2007,10,1,487
2007,10,2,459
2007,10,3,703
2007,10,4,499
2007,11,1,193
2007,11,2,318
2007,11,3,328
2007,11,4,679
2007,12,1,328
2007,12,2,458
2007,12,3,950
2007,12,4,1075
2008,1,1,502
2008,1,2,257
2008,1,3,692
2008,1,4,346
2008,2,1,351
2008,2,2,373
2008,2,3,842
2008,2,4,392
2008,3,1,767
2008,3,2,914
2008,3,3,795
2008,3,4,873
2008,4,1,1125
2008,4,2,528
2008,4,3,270
2008,4,4,317
2008,5,1,238
2008,5,2,400
2008,5,3,431
2008,5,4,260
2008,6,1,442
2008,6,2,902
2008,6,3,739
2008,6,4,700
2008,7,1,716
2008,7,2,1347
2008,7,3,883
2008,7,4,1079
2008,8,1,956
2008,8,2,630
2008,8,3,466
2008,8,4,679
2008,9,1,249
2008,9,2,562
2008,9,3,277
2008,9,4,310
2008,10,1,294
2008,10,2,772
2008,10,3,485
2008,10,4,689
2008,11,1,340
2008,11,2,768
2008,11,3,476
2008,11,4,794
2008,12,1,619
2008,12,2,845
2008,12,3,1166
2008,12,4,942
