year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,168
2003,6,2,584
2003,6,3,369
2003,6,4,130
2003,7,1,515
2003,7,2,235
2003,7,3,306
2003,7,4,203
2003,8,1,582
2003,8,2,646
2003,8,3,181
2003,8,4,416
2003,9,1,71
2003,9,2,148
2003,9,3,144
2003,9,4,188
2003,10,1,13
2003,10,2,78
2003,10,3,13
2003,10,4,39
2003,11,1,229
2003,11,2,89
2003,11,3,276
2003,11,4,51
2003,12,1,209
2003,12,2,456
2003,12,3,192
2003,12,4,89
2004,1,1,742
2004,1,2,303
2004,1,3,436
2004,1,4,690
2004,2,1,591
2004,2,2,340
2004,2,3,193
2004,2,4,181
2004,3,1,250
2004,3,2,60
2004,3,3,352
2004,3,4,81
2004,4,1,33
2004,4,2,93
2004,4,3,59
2004,4,4,435
2004,5,1,75
2004,5,2,290
2004,5,3,131
2004,5,4,202
2004,6,1,283
2004,6,2,381
2004,6,3,532
2004,6,4,1148
2004,7,1,191
2004,7,2,147
2004,7,3,368
2004,7,4,381
2004,8,1,768
2004,8,2,134
2004,8,3,487
2004,8,4,472
2004,9,1,148
2004,9,2,87
2004,9,3,33
2004,9,4,31
2004,10,1,457
2004,10,2,24
2004,10,3,155
2004,10,4,346
2004,11,1,37
2004,11,2,66
2004,11,3,507
2004,11,4,291
2004,12,1,222
2004,12,2,47
2004,12,3,795
2004,12,4,649
2005,1,1,897
2005,1,2,403
2005,1,3,453
2005,1,4,234
2005,2,1,54
2005,2,2,94
2005,2,3,164
2005,2,4,181
2005,3,1,62
2005,3,2,291
2005,3,3,207
2005,3,4,234
2005,4,1,114
2005,4,2,51
2005,4,3,29
2005,4,4,254
2005,5,1,160
2005,5,2,85
2005,5,3,43
2005,5,4,504
2005,6,1,547
2005,6,2,158
2005,6,3,301
2005,6,4,192
2005,7,1,880
2005,7,2,827
2005,7,3,294
2005,7,4,223
2005,8,1,716
2005,8,2,499
2005,8,3,224
2005,8,4,139
2005,9,1,149
2005,9,2,225
2005,9,3,61
2005,9,4,160
2005,10,1,81
2005,10,2,87
2005,10,3,20
2005,10,4,288
2005,11,1,16
2005,11,2,71
2005,11,3,73
2005,11,4,271
2005,12,1,294
2005,12,2,491
2005,12,3,318
2005,12,4,150
2006,1,1,422
2006,1,2,185
2006,1,3,152
2006,1,4,29
2006,2,1,104
2006,2,2,116
2006,2,3,734
2006,2,4,67
2006,3,1,165
2006,3,2,217
2006,3,3,769
2006,3,4,41
2006,4,1,300
2006,4,2,28
2006,4,3,56
2006,4,4,187
2006,5,1,135
2006,5,2,103
2006,5,3,67
2006,5,4,307
2006,6,1,132
2006,6,2,24
2006,6,3,138
2006,6,4,288
2006,7,1,369
2006,7,2,92
2006,7,3,327
2006,7,4,102
2006,8,1,213
2006,8,2,317
2006,8,3,109
2006,8,4,313
2006,9,1,141
2006,9,2,224
2006,9,3,553
2006,9,4,17
2006,10,1,22
2006,10,2,417
2006,10,3,36
2006,10,4,205
2006,11,1,50
2006,11,2,273
2006,11,3,36
2006,11,4,276
2006,12,1,112
2006,12,2,65
2006,12,3,448
2006,12,4,436
2007,1,1,90
2007,1,2,959
2007,1,3,683
2007,1,4,411
2007,2,1,398
2007,2,2,641
2007,2,3,181
2007,2,4,581
2007,3,1,191
2007,3,2,175
2007,3,3,184
2007,3,4,385
2007,4,1,114
2007,4,2,320
2007,4,3,73
2007,4,4,119
2007,5,1,145
2007,5,2,303
2007,5,3,47
2007,5,4,441
2007,6,1,600
2007,6,2,215
2007,6,3,1008
2007,6,4,977
2007,7,1,761
2007,7,2,380
2007,7,3,242
2007,7,4,590
2007,8,1,225
2007,8,2,105
2007,8,3,192
2007,8,4,298
2007,9,1,43
2007,9,2,502
2007,9,3,37
2007,9,4,35
2007,10,1,18
2007,10,2,481
2007,10,3,70
2007,10,4,15
2007,11,1,5
2007,11,2,13
2007,11,3,272
2007,11,4,32
2007,12,1,285
2007,12,2,704
2007,12,3,357
2007,12,4,332
2008,1,1,212
2008,1,2,49
2008,1,3,287
2008,1,4,246
2008,2,1,318
2008,2,2,331
2008,2,3,272
2008,2,4,105
2008,3,1,244
2008,3,2,88
2008,3,3,253
2008,3,4,274
2008,4,1,58
2008,4,2,22
2008,4,3,90
2008,4,4,39
2008,5,1,108
2008,5,2,68
2008,5,3,30
2008,5,4,247
2008,6,1,72
2008,6,2,153
2008,6,3,670
2008,6,4,137
2008,7,1,112
2008,7,2,248
2008,7,3,60
2008,7,4,218
2008,8,1,108
2008,8,2,341
2008,8,3,237
2008,8,4,229
2008,9,1,19
2008,9,2,46
2008,9,3,14
2008,9,4,76
2008,10,1,9
2008,10,2,54
2008,10,3,13
2008,10,4,26
2008,11,1,12
2008,11,2,55
2008,11,3,8
2008,11,4,71
2008,12,1,182
2008,12,2,137
2008,12,3,793
2008,12,4,348
