year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,23
2003,6,2,105
2003,6,3,57
2003,6,4,19
2003,7,1,29
2003,7,2,132
2003,7,3,139
2003,7,4,83
2003,8,1,82
2003,8,2,49
2003,8,3,73
2003,8,4,109
2003,9,1,20
2003,9,2,21
2003,9,3,27
2003,9,4,12
2003,10,1,16
2003,10,2,42
2003,10,3,3
2003,10,4,11
2003,11,1,37
2003,11,2,12
2003,11,3,20
2003,11,4,13
2003,12,1,164
2003,12,2,121
2003,12,3,57
2003,12,4,147
2004,1,1,115
2004,1,2,62
2004,1,3,33
2004,1,4,124
2004,2,1,93
2004,2,2,54
2004,2,3,27
2004,2,4,141
2004,3,1,27
2004,3,2,21
2004,3,3,37
2004,3,4,18
2004,4,1,8
2004,4,2,66
2004,4,3,14
2004,4,4,16
2004,5,1,28
2004,5,2,116
2004,5,3,68
2004,5,4,157
2004,6,1,73
2004,6,2,128
2004,6,3,165
2004,6,4,160
2004,7,1,86
2004,7,2,80
2004,7,3,31
2004,7,4,92
2004,8,1,56
2004,8,2,53
2004,8,3,74
2004,8,4,88
2004,9,1,64
2004,9,2,26
2004,9,3,125
2004,9,4,64
2004,10,1,24
2004,10,2,6
2004,10,3,57
2004,10,4,17
2004,11,1,13
2004,11,2,58
2004,11,3,83
2004,11,4,89
2004,12,1,29
2004,12,2,70
2004,12,3,146
2004,12,4,255
2005,1,1,58
2005,1,2,57
2005,1,3,132
2005,1,4,159
2005,2,1,37
2005,2,2,31
2005,2,3,77
2005,2,4,44
2005,3,1,19
2005,3,2,81
2005,3,3,101
2005,3,4,180
2005,4,1,28
2005,4,2,10
2005,4,3,103
2005,4,4,135
2005,5,1,7
2005,5,2,21
2005,5,3,86
2005,5,4,22
2005,6,1,75
2005,6,2,42
2005,6,3,51
2005,6,4,49
2005,7,1,128
2005,7,2,144
2005,7,3,161
2005,7,4,89
2005,8,1,37
2005,8,2,106
2005,8,3,170
2005,8,4,32
2005,9,1,2
2005,9,2,13
2005,9,3,14
2005,9,4,6
2005,10,1,31
2005,10,2,22
2005,10,3,9
2005,10,4,11
2005,11,1,5
2005,11,2,10
2005,11,3,37
2005,11,4,36
2005,12,1,53
2005,12,2,193
2005,12,3,30
2005,12,4,65
2006,1,1,187
2006,1,2,64
2006,1,3,71
2006,1,4,14
2006,2,1,65
2006,2,2,40
2006,2,3,92
2006,2,4,23
2006,3,1,20
2006,3,2,52
2006,3,3,66
2006,3,4,10
2006,4,1,31
2006,4,2,13
2006,4,3,56
2006,4,4,3
2006,5,1,20
2006,5,2,45
2006,5,3,34
2006,5,4,36
2006,6,1,100
2006,6,2,43
2006,6,3,43
2006,6,4,181
2006,7,1,51
2006,7,2,37
2006,7,3,80
2006,7,4,85
2006,8,1,51
2006,8,2,109
2006,8,3,80
2006,8,4,56
2006,9,1,30
2006,9,2,41
2006,9,3,35
2006,9,4,73
2006,10,1,9
2006,10,2,12
2006,10,3,91
2006,10,4,102
2006,11,1,48
2006,11,2,78
2006,11,3,7
2006,11,4,10
2006,12,1,24
2006,12,2,23
2006,12,3,82
2006,12,4,49
2007,1,1,156
2007,1,2,26
2007,1,3,94
2007,1,4,7
2007,2,1,32
2007,2,2,87
2007,2,3,72
2007,2,4,55
2007,3,1,85
2007,3,2,14
2007,3,3,37
2007,3,4,9
2007,4,1,12
2007,4,2,36
2007,4,3,8
2007,4,4,11
2007,5,1,13
2007,5,2,119
2007,5,3,15
2007,5,4,11
2007,6,1,23
2007,6,2,133
2007,6,3,37
2007,6,4,203
2007,7,1,57
2007,7,2,53
2007,7,3,107
2007,7,4,100
2007,8,1,14
2007,8,2,35
2007,8,3,70
2007,8,4,280
2007,9,1,12
2007,9,2,114
2007,9,3,8
2007,9,4,10
2007,10,1,8
2007,10,2,14
2007,10,3,19
2007,10,4,5
2007,11,1,2
2007,11,2,5
2007,11,3,3
2007,11,4,13
2007,12,1,41
2007,12,2,61
2007,12,3,85
2007,12,4,101
2008,1,1,46
2008,1,2,10
2008,1,3,177
2008,1,4,22
2008,2,1,22
2008,2,2,35
2008,2,3,141
2008,2,4,22
2008,3,1,44
2008,3,2,165
2008,3,3,49
2008,3,4,49
2008,4,1,89
2008,4,2,31
2008,4,3,3
2008,4,4,6
2008,5,1,5
2008,5,2,16
2008,5,3,17
2008,5,4,18
2008,6,1,24
2008,6,2,87
2008,6,3,52
2008,6,4,78
2008,7,1,92
2008,7,2,219
2008,7,3,67
2008,7,4,206
2008,8,1,89
2008,8,2,49
2008,8,3,8
2008,8,4,40
2008,9,1,6
2008,9,2,61
2008,9,3,2
2008,9,4,12
2008,10,1,8
2008,10,2,38
2008,10,3,9
2008,10,4,51
2008,11,1,14
2008,11,2,57
2008,11,3,0
2008,11,4,53
2008,12,1,12
2008,12,2,58
2008,12,3,187
2008,12,4,125
