year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,117
2003,6,2,321
2003,6,3,129
2003,6,4,67
2003,7,1,96
2003,7,2,159
2003,7,3,194
2003,7,4,115
2003,8,1,152
2003,8,2,181
2003,8,3,63
2003,8,4,118
2003,9,1,48
2003,9,2,121
2003,9,3,124
2003,9,4,32
2003,10,1,47
2003,10,2,88
2003,10,3,20
2003,10,4,69
2003,11,1,107
2003,11,2,30
2003,11,3,177
2003,11,4,30
2003,12,1,152
2003,12,2,181
2003,12,3,43
2003,12,4,34
2004,1,1,142
2004,1,2,157
2004,1,3,60
2004,1,4,261
2004,2,1,366
2004,2,2,314
2004,2,3,101
2004,2,4,242
2004,3,1,141
2004,3,2,62
2004,3,3,35
2004,3,4,87
2004,4,1,42
2004,4,2,209
2004,4,3,58
2004,4,4,134
2004,5,1,116
2004,5,2,274
2004,5,3,244
2004,5,4,238
2004,6,1,164
2004,6,2,444
2004,6,3,563
2004,6,4,718
2004,7,1,315
2004,7,2,237
2004,7,3,68
2004,7,4,252
2004,8,1,143
2004,8,2,137
2004,8,3,286
2004,8,4,238
2004,9,1,279
2004,9,2,215
2004,9,3,85
2004,9,4,122
2004,10,1,320
2004,10,2,112
2004,10,3,351
2004,10,4,399
2004,11,1,178
2004,11,2,210
2004,11,3,690
2004,11,4,453
2004,12,1,215
2004,12,2,300
2004,12,3,294
2004,12,4,164
2005,1,1,225
2005,1,2,260
2005,1,3,210
2005,1,4,204
2005,2,1,203
2005,2,2,392
2005,2,3,256
2005,2,4,236
2005,3,1,126
2005,3,2,192
2005,3,3,345
2005,3,4,414
2005,4,1,282
2005,4,2,41
2005,4,3,201
2005,4,4,309
2005,5,1,51
2005,5,2,136
2005,5,3,347
2005,5,4,184
2005,6,1,462
2005,6,2,343
2005,6,3,168
2005,6,4,244
2005,7,1,383
2005,7,2,571
2005,7,3,372
2005,7,4,401
2005,8,1,332
2005,8,2,598
2005,8,3,508
2005,8,4,290
2005,9,1,51
2005,9,2,61
2005,9,3,119
2005,9,4,73
2005,10,1,336
2005,10,2,576
2005,10,3,84
2005,10,4,24
2005,11,1,69
2005,11,2,84
2005,11,3,362
2005,11,4,267
2005,12,1,369
2005,12,2,381
2005,12,3,222
2005,12,4,414
2006,1,1,385
2006,1,2,197
2006,1,3,324
2006,1,4,80
2006,2,1,254
2006,2,2,144
2006,2,3,499
2006,2,4,76
2006,3,1,129
2006,3,2,261
2006,3,3,352
2006,3,4,140
2006,4,1,298
2006,4,2,132
2006,4,3,405
2006,4,4,94
2006,5,1,219
2006,5,2,423
2006,5,3,100
2006,5,4,170
2006,6,1,251
2006,6,2,389
2006,6,3,392
2006,6,4,683
2006,7,1,307
2006,7,2,274
2006,7,3,457
2006,7,4,372
2006,8,1,327
2006,8,2,376
2006,8,3,329
2006,8,4,388
2006,9,1,223
2006,9,2,814
2006,9,3,318
2006,9,4,223
2006,10,1,188
2006,10,2,154
2006,10,3,784
2006,10,4,236
2006,11,1,242
2006,11,2,275
2006,11,3,114
2006,11,4,79
2006,12,1,67
2006,12,2,124
2006,12,3,125
2006,12,4,69
2007,1,1,318
2007,1,2,92
2007,1,3,420
2007,1,4,61
2007,2,1,311
2007,2,2,125
2007,2,3,150
2007,2,4,139
2007,3,1,290
2007,3,2,76
2007,3,3,93
2007,3,4,70
2007,4,1,211
2007,4,2,153
2007,4,3,60
2007,4,4,92
2007,5,1,89
2007,5,2,170
2007,5,3,69
2007,5,4,28
2007,6,1,109
2007,6,2,449
2007,6,3,297
2007,6,4,447
2007,7,1,184
2007,7,2,499
2007,7,3,487
2007,7,4,245
2007,8,1,171
2007,8,2,230
2007,8,3,178
2007,8,4,542
2007,9,1,48
2007,9,2,378
2007,9,3,70
2007,9,4,109
2007,10,1,211
2007,10,2,233
2007,10,3,367
2007,10,4,189
2007,11,1,27
2007,11,2,39
2007,11,3,172
2007,11,4,402
2007,12,1,70
2007,12,2,258
2007,12,3,348
2007,12,4,542
2008,1,1,69
2008,1,2,53
2008,1,3,195
2008,1,4,56
2008,2,1,253
2008,2,2,116
2008,2,3,491
2008,2,4,338
2008,3,1,367
2008,3,2,414
2008,3,3,203
2008,3,4,223
2008,4,1,678
2008,4,2,84
2008,4,3,21
2008,4,4,78
2008,5,1,68
2008,5,2,103
2008,5,3,112
2008,5,4,49
2008,6,1,67
2008,6,2,229
2008,6,3,152
2008,6,4,210
2008,7,1,313
2008,7,2,555
2008,7,3,180
2008,7,4,330
2008,8,1,223
2008,8,2,118
2008,8,3,62
2008,8,4,224
2008,9,1,16
2008,9,2,118
2008,9,3,13
2008,9,4,18
2008,10,1,3
2008,10,2,43
2008,10,3,15
2008,10,4,43
2008,11,1,6
2008,11,2,58
2008,11,3,5
2008,11,4,82
2008,12,1,48
2008,12,2,61
2008,12,3,121
2008,12,4,150
