year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,32
2003,6,2,134
2003,6,3,103
2003,6,4,60
2003,7,1,144
2003,7,2,146
2003,7,3,143
2003,7,4,93
2003,8,1,263
2003,8,2,31
2003,8,3,102
2003,8,4,69
2003,9,1,9
2003,9,2,12
2003,9,3,7
2003,9,4,16
2003,10,1,8
2003,10,2,7
2003,10,3,7
2003,10,4,62
2003,11,1,46
2003,11,2,27
2003,11,3,23
2003,11,4,6
2003,12,1,61
2003,12,2,83
2003,12,3,15
2003,12,4,51
2004,1,1,101
2004,1,2,29
2004,1,3,37
2004,1,4,134
2004,2,1,44
2004,2,2,9
2004,2,3,11
2004,2,4,18
2004,3,1,39
2004,3,2,9
2004,3,3,14
2004,3,4,26
2004,4,1,17
2004,4,2,13
2004,4,3,20
2004,4,4,2
2004,5,1,27
2004,5,2,104
2004,5,3,120
2004,5,4,138
2004,6,1,29
2004,6,2,114
2004,6,3,88
2004,6,4,59
2004,7,1,98
2004,7,2,93
2004,7,3,152
2004,7,4,27
2004,8,1,97
2004,8,2,87
2004,8,3,88
2004,8,4,60
2004,9,1,20
2004,9,2,37
2004,9,3,35
2004,9,4,14
2004,10,1,37
2004,10,2,7
2004,10,3,19
2004,10,4,26
2004,11,1,13
2004,11,2,20
2004,11,3,14
2004,11,4,74
2004,12,1,10
2004,12,2,14
2004,12,3,69
2004,12,4,75
2005,1,1,274
2005,1,2,52
2005,1,3,108
2005,1,4,40
2005,2,1,11
2005,2,2,20
2005,2,3,45
2005,2,4,38
2005,3,1,11
2005,3,2,57
2005,3,3,23
2005,3,4,68
2005,4,1,11
2005,4,2,39
2005,4,3,45
2005,4,4,8
2005,5,1,28
2005,5,2,60
2005,5,3,50
2005,5,4,24
2005,6,1,139
2005,6,2,128
2005,6,3,77
2005,6,4,109
2005,7,1,32
2005,7,2,69
2005,7,3,99
2005,7,4,134
2005,8,1,58
2005,8,2,36
2005,8,3,45
2005,8,4,8
2005,9,1,11
2005,9,2,8
2005,9,3,74
2005,9,4,32
2005,10,1,39
2005,10,2,60
2005,10,3,15
2005,10,4,13
2005,11,1,27
2005,11,2,25
2005,11,3,56
2005,11,4,69
2005,12,1,46
2005,12,2,138
2005,12,3,58
2005,12,4,54
2006,1,1,30
2006,1,2,46
2006,1,3,90
2006,1,4,14
2006,2,1,32
2006,2,2,46
2006,2,3,194
2006,2,4,16
2006,3,1,63
2006,3,2,51
2006,3,3,26
2006,3,4,16
2006,4,1,57
2006,4,2,10
2006,4,3,64
2006,4,4,7
2006,5,1,13
2006,5,2,20
2006,5,3,21
2006,5,4,139
2006,6,1,55
2006,6,2,76
2006,6,3,99
2006,6,4,120
2006,7,1,87
2006,7,2,45
2006,7,3,260
2006,7,4,44
2006,8,1,126
2006,8,2,241
2006,8,3,54
2006,8,4,92
2006,9,1,45
2006,9,2,70
2006,9,3,66
2006,9,4,35
2006,10,1,60
2006,10,2,28
2006,10,3,21
2006,10,4,23
2006,11,1,16
2006,11,2,52
2006,11,3,14
2006,11,4,54
2006,12,1,57
2006,12,2,12
2006,12,3,61
2006,12,4,43
2007,1,1,49
2007,1,2,65
2007,1,3,233
2007,1,4,25
2007,2,1,245
2007,2,2,164
2007,2,3,44
2007,2,4,147
2007,3,1,47
2007,3,2,13
2007,3,3,76
2007,3,4,54
2007,4,1,35
2007,4,2,110
2007,4,3,17
2007,4,4,61
2007,5,1,82
2007,5,2,39
2007,5,3,63
2007,5,4,111
2007,6,1,85
2007,6,2,73
2007,6,3,56
2007,6,4,221
2007,7,1,47
2007,7,2,126
2007,7,3,131
2007,7,4,116
2007,8,1,137
2007,8,2,125
2007,8,3,142
2007,8,4,71
2007,9,1,31
2007,9,2,23
2007,9,3,20
2007,9,4,65
2007,10,1,23
2007,10,2,43
2007,10,3,52
2007,10,4,17
2007,11,1,7
2007,11,2,13
2007,11,3,14
2007,11,4,12
2007,12,1,144
2007,12,2,96
2007,12,3,102
2007,12,4,235
2008,1,1,146
2008,1,2,37
2008,1,3,132
2008,1,4,131
2008,2,1,142
2008,2,2,212
2008,2,3,71
2008,2,4,70
2008,3,1,26
2008,3,2,24
2008,3,3,99
2008,3,4,61
2008,4,1,23
2008,4,2,75
2008,4,3,31
2008,4,4,61
2008,5,1,99
2008,5,2,33
2008,5,3,32
2008,5,4,38
2008,6,1,119
2008,6,2,121
2008,6,3,114
2008,6,4,59
2008,7,1,49
2008,7,2,134
2008,7,3,88
2008,7,4,96
2008,8,1,176
2008,8,2,68
2008,8,3,60
2008,8,4,37
2008,9,1,23
2008,9,2,130
2008,9,3,15
2008,9,4,30
2008,10,1,37
2008,10,2,19
2008,10,3,11
2008,10,4,19
2008,11,1,13
2008,11,2,12
2008,11,3,8
2008,11,4,45
2008,12,1,82
2008,12,2,119
2008,12,3,343
2008,12,4,94
