year,mes,semana,valor
2003,1,1,1545
2003,1,2,1039
2003,1,3,1974
2003,1,4,1667
2003,2,1,1415
2003,2,2,1568
2003,2,3,2172
2003,2,4,1461
2003,3,1,1999
2003,3,2,1838
2003,3,3,2245
2003,3,4,1178
2003,4,1,1608
2003,4,2,1768
2003,4,3,1318
2003,4,4,1349
2003,5,1,1967
2003,5,2,1640
2003,5,3,2214
2003,5,4,908
2003,6,1,1479
2003,6,2,2211
2003,6,3,1920
2003,6,4,1415
2003,7,1,1776
2003,7,2,2187
2003,7,3,2494
2003,7,4,1904
2003,8,1,2015
2003,8,2,2113
2003,8,3,1758
2003,8,4,1509
2003,9,1,1132
2003,9,2,1180
2003,9,3,1404
2003,9,4,873
2003,10,1,1038
2003,10,2,1782
2003,10,3,938
2003,10,4,1119
2003,11,1,1208
2003,11,2,689
2003,11,3,1441
2003,11,4,1019
2003,12,1,1271
2003,12,2,1637
2003,12,3,1539
2003,12,4,1124
2004,1,1,1423
2004,1,2,1035
2004,1,3,903
2004,1,4,1372
2004,2,1,1827
2004,2,2,1775
2004,2,3,982
2004,2,4,1327
2004,3,1,1018
2004,3,2,824
2004,3,3,703
2004,3,4,795
2004,4,1,799
2004,4,2,1362
2004,4,3,677
2004,4,4,1146
2004,5,1,947
2004,5,2,1366
2004,5,3,1540
2004,5,4,1468
2004,6,1,1199
2004,6,2,2353
2004,6,3,2349
2004,6,4,2483
2004,7,1,1775
2004,7,2,2191
2004,7,3,1499
2004,7,4,1983
2004,8,1,1324
2004,8,2,1403
2004,8,3,1608
2004,8,4,1370
2004,9,1,1481
2004,9,2,1379
2004,9,3,1146
2004,9,4,1035
2004,10,1,1716
2004,10,2,1756
2004,10,3,2242
2004,10,4,2270
2004,11,1,1757
2004,11,2,1936
2004,11,3,2633
2004,11,4,2235
2004,12,1,1627
2004,12,2,1830
2004,12,3,2577
2004,12,4,2258
2005,1,1,2031
2005,1,2,1840
2005,1,3,1684
2005,1,4,1853
2005,2,1,2063
2005,2,2,2363
2005,2,3,2141
2005,2,4,1325
2005,3,1,1281
2005,3,2,1685
2005,3,3,2290
2005,3,4,2270
2005,4,1,2029
2005,4,2,1168
2005,4,3,1091
2005,4,4,1536
2005,5,1,1181
2005,5,2,1430
2005,5,3,1899
2005,5,4,1468
2005,6,1,2523
2005,6,2,2247
2005,6,3,1729
2005,6,4,2120
2005,7,1,2223
2005,7,2,2770
2005,7,3,2508
2005,7,4,2471
2005,8,1,2262
2005,8,2,2996
2005,8,3,2733
2005,8,4,2315
2005,9,1,1386
2005,9,2,1497
2005,9,3,1829
2005,9,4,1322
2005,10,1,1784
2005,10,2,2441
2005,10,3,1352
2005,10,4,1136
2005,11,1,1103
2005,11,2,1250
2005,11,3,2532
2005,11,4,1923
2005,12,1,2211
2005,12,2,2189
2005,12,3,2217
2005,12,4,2421
2006,1,1,1956
2006,1,2,1481
2006,1,3,2090
2006,1,4,1067
2006,2,1,1694
2006,2,2,1420
2006,2,3,2706
2006,2,4,945
2006,3,1,1434
2006,3,2,2180
2006,3,3,2461
2006,3,4,1681
2006,4,1,2173
2006,4,2,1186
2006,4,3,2485
2006,4,4,1180
2006,5,1,1649
2006,5,2,2494
2006,5,3,1372
2006,5,4,1831
2006,6,1,1652
2006,6,2,2613
2006,6,3,2477
2006,6,4,2709
2006,7,1,2499
2006,7,2,2816
2006,7,3,3209
2006,7,4,3025
2006,8,1,2729
2006,8,2,2922
2006,8,3,2368
2006,8,4,2875
2006,9,1,2095
2006,9,2,3589
2006,9,3,2653
2006,9,4,1984
2006,10,1,2174
2006,10,2,2592
2006,10,3,3829
2006,10,4,2522
2006,11,1,2653
2006,11,2,2432
2006,11,3,2115
2006,11,4,1645
2006,12,1,1535
2006,12,2,1905
2006,12,3,1948
2006,12,4,1928
2007,1,1,1928
2007,1,2,1701
2007,1,3,2694
2007,1,4,1920
2007,2,1,2417
2007,2,2,2281
2007,2,3,2795
2007,2,4,1578
2007,3,1,2531
2007,3,2,2078
2007,3,3,2183
2007,3,4,1680
2007,4,1,2354
2007,4,2,2382
2007,4,3,1724
2007,4,4,1461
2007,5,1,1922
2007,5,2,1575
2007,5,3,1609
2007,5,4,1340
2007,6,1,1840
2007,6,2,3713
2007,6,3,3241
2007,6,4,3318
2007,7,1,1809
2007,7,2,3782
2007,7,3,3633
2007,7,4,3441
2007,8,1,2912
2007,8,2,3473
2007,8,3,3098
2007,8,4,3311
2007,9,1,2038
2007,9,2,2691
2007,9,3,2671
2007,9,4,2016
2007,10,1,2264
2007,10,2,2415
2007,10,3,3075
2007,10,4,2623
2007,11,1,1236
2007,11,2,1697
2007,11,3,1685
2007,11,4,2235
2007,12,1,1566
2007,12,2,2086
2007,12,3,3160
2007,12,4,2790
2008,1,1,2006
2008,1,2,1472
2008,1,3,1966
2008,1,4,1903
2008,2,1,1866
2008,2,2,1688
2008,2,3,2485
2008,2,4,1800
2008,3,1,2143
2008,3,2,2187
