year,mes,semana,valor
2003,1,1,36
2003,1,2,39
2003,1,3,52
2003,1,4,51
2003,2,1,43
2003,2,2,49
2003,2,3,38
2003,2,4,56
2003,3,1,44
2003,3,2,35
2003,3,3,47
2003,3,4,50
2003,4,1,60
2003,4,2,51
2003,4,3,48
2003,4,4,54
2003,5,1,76
2003,5,2,75
2003,5,3,52
2003,5,4,39
2003,6,1,44
2003,6,2,104
2003,6,3,139
2003,6,4,131
2003,7,1,87
2003,7,2,127
2003,7,3,114
2003,7,4,129
2003,8,1,144
2003,8,2,102
2003,8,3,110
2003,8,4,98
2003,9,1,61
2003,9,2,59
2003,9,3,55
2003,9,4,37
2003,10,1,50
2003,10,2,53
2003,10,3,47
2003,10,4,112
2003,11,1,82
2003,11,2,101
2003,11,3,112
2003,11,4,53
2003,12,1,68
2003,12,2,73
2003,12,3,93
2003,12,4,98
2004,1,1,168
2004,1,2,90
2004,1,3,59
2004,1,4,90
2004,2,1,100
2004,2,2,79
2004,2,3,99
2004,2,4,53
2004,3,1,93
2004,3,2,55
2004,3,3,70
2004,3,4,95
2004,4,1,44
2004,4,2,56
2004,4,3,70
2004,4,4,84
2004,5,1,55
2004,5,2,86
2004,5,3,104
2004,5,4,99
2004,6,1,64
2004,6,2,133
2004,6,3,197
2004,6,4,143
2004,7,1,75
2004,7,2,128
2004,7,3,171
2004,7,4,166
2004,8,1,217
2004,8,2,116
2004,8,3,132
2004,8,4,114
2004,9,1,89
2004,9,2,66
2004,9,3,63
2004,9,4,60
2004,10,1,73
2004,10,2,58
2004,10,3,114
2004,10,4,99
2004,11,1,79
2004,11,2,66
2004,11,3,94
2004,11,4,96
2004,12,1,112
2004,12,2,65
2004,12,3,214
2004,12,4,247
2005,1,1,234
2005,1,2,254
2005,1,3,91
2005,1,4,85
2005,2,1,80
2005,2,2,117
2005,2,3,200
2005,2,4,55
2005,3,1,56
2005,3,2,107
2005,3,3,114
2005,3,4,99
2005,4,1,109
2005,4,2,72
2005,4,3,115
2005,4,4,93
2005,5,1,71
2005,5,2,96
2005,5,3,79
2005,5,4,101
2005,6,1,90
2005,6,2,141
2005,6,3,139
2005,6,4,119
2005,7,1,176
2005,7,2,143
2005,7,3,149
2005,7,4,137
2005,8,1,127
2005,8,2,155
2005,8,3,146
2005,8,4,105
2005,9,1,54
2005,9,2,112
2005,9,3,128
2005,9,4,97
2005,10,1,72
2005,10,2,90
2005,10,3,107
2005,10,4,68
2005,11,1,78
2005,11,2,75
2005,11,3,87
2005,11,4,88
2005,12,1,108
2005,12,2,120
2005,12,3,188
2005,12,4,157
2006,1,1,165
2006,1,2,96
2006,1,3,99
2006,1,4,49
2006,2,1,57
2006,2,2,97
2006,2,3,232
2006,2,4,71
2006,3,1,83
2006,3,2,148
2006,3,3,191
2006,3,4,128
2006,4,1,182
2006,4,2,134
2006,4,3,118
2006,4,4,88
2006,5,1,101
2006,5,2,102
2006,5,3,124
2006,5,4,111
2006,6,1,111
2006,6,2,96
2006,6,3,124
2006,6,4,144
2006,7,1,116
2006,7,2,94
2006,7,3,166
2006,7,4,159
2006,8,1,125
2006,8,2,187
2006,8,3,139
2006,8,4,141
2006,9,1,81
2006,9,2,93
2006,9,3,121
2006,9,4,100
2006,10,1,97
2006,10,2,148
2006,10,3,131
2006,10,4,101
2006,11,1,91
2006,11,2,151
2006,11,3,132
2006,11,4,130
2006,12,1,128
2006,12,2,150
2006,12,3,236
2006,12,4,241
2007,1,1,212
2007,1,2,187
2007,1,3,181
2007,1,4,116
2007,2,1,109
2007,2,2,183
2007,2,3,156
2007,2,4,156
2007,3,1,134
2007,3,2,123
2007,3,3,166
2007,3,4,192
2007,4,1,161
2007,4,2,180
2007,4,3,167
2007,4,4,125
2007,5,1,98
2007,5,2,114
2007,5,3,148
2007,5,4,154
2007,6,1,166
2007,6,2,144
2007,6,3,196
2007,6,4,202
2007,7,1,143
2007,7,2,183
2007,7,3,147
2007,7,4,170
2007,8,1,158
2007,8,2,129
2007,8,3,170
2007,8,4,143
2007,9,1,96
2007,9,2,133
2007,9,3,104
2007,9,4,118
2007,10,1,86
2007,10,2,159
2007,10,3,150
2007,10,4,107
2007,11,1,105
2007,11,2,158
2007,11,3,191
2007,11,4,155
2007,12,1,181
2007,12,2,206
2007,12,3,306
2007,12,4,229
2008,1,1,243
2008,1,2,154
2008,1,3,168
2008,1,4,194
2008,2,1,179
2008,2,2,167
2008,2,3,201
2008,2,4,125
2008,3,1,113
2008,3,2,151
2008,3,3,242
2008,3,4,229
2008,4,1,212
2008,4,2,195
2008,4,3,162
2008,4,4,158
2008,5,1,166
2008,5,2,195
2008,5,3,147
2008,5,4,180
2008,6,1,154
2008,6,2,185
2008,6,3,218
2008,6,4,201
2008,7,1,120
2008,7,2,139
2008,7,3,203
2008,7,4,163
2008,8,1,151
2008,8,2,207
2008,8,3,168
2008,8,4,115
2008,9,1,68
2008,9,2,106
2008,9,3,70
2008,9,4,87
2008,10,1,58
2008,10,2,100
2008,10,3,76
2008,10,4,73
2008,11,1,66
2008,11,2,90
2008,11,3,70
2008,11,4,71
2008,12,1,99
2008,12,2,102
2008,12,3,243
2008,12,4,160
