year,mes,semana,valor
2003,1,1,28
2003,1,2,19
2003,1,3,11
2003,1,4,16
2003,2,1,11
2003,2,2,26
2003,2,3,20
2003,2,4,15
2003,3,1,14
2003,3,2,18
2003,3,3,15
2003,3,4,11
2003,4,1,15
2003,4,2,11
2003,4,3,10
2003,4,4,10
2003,5,1,14
2003,5,2,17
2003,5,3,14
2003,5,4,9
2003,6,1,16
2003,6,2,36
2003,6,3,33
2003,6,4,16
2003,7,1,11
2003,7,2,25
2003,7,3,29
2003,7,4,23
2003,8,1,51
2003,8,2,32
2003,8,3,30
2003,8,4,29
2003,9,1,14
2003,9,2,14
2003,9,3,18
2003,9,4,9
2003,10,1,14
2003,10,2,11
2003,10,3,12
2003,10,4,51
2003,11,1,29
2003,11,2,28
2003,11,3,28
2003,11,4,21
2003,12,1,52
2003,12,2,29
2003,12,3,84
2003,12,4,101
2004,1,1,99
2004,1,2,37
2004,1,3,23
2004,1,4,32
2004,2,1,27
2004,2,2,30
2004,2,3,44
2004,2,4,42
2004,3,1,32
2004,3,2,30
2004,3,3,23
2004,3,4,43
2004,4,1,34
2004,4,2,44
2004,4,3,46
2004,4,4,28
2004,5,1,29
2004,5,2,31
2004,5,3,27
2004,5,4,53
2004,6,1,46
2004,6,2,59
2004,6,3,70
2004,6,4,69
2004,7,1,57
2004,7,2,56
2004,7,3,77
2004,7,4,79
2004,8,1,81
2004,8,2,50
2004,8,3,47
2004,8,4,34
2004,9,1,44
2004,9,2,28
2004,9,3,49
2004,9,4,33
2004,10,1,19
2004,10,2,28
2004,10,3,41
2004,10,4,16
2004,11,1,15
2004,11,2,22
2004,11,3,52
2004,11,4,61
2004,12,1,34
2004,12,2,26
2004,12,3,89
2004,12,4,98
2005,1,1,88
2005,1,2,63
2005,1,3,38
2005,1,4,41
2005,2,1,11
2005,2,2,42
2005,2,3,96
2005,2,4,22
2005,3,1,24
2005,3,2,28
2005,3,3,72
2005,3,4,53
2005,4,1,39
2005,4,2,16
2005,4,3,20
2005,4,4,33
2005,5,1,32
2005,5,2,24
2005,5,3,30
2005,5,4,35
2005,6,1,37
2005,6,2,36
2005,6,3,35
2005,6,4,54
2005,7,1,37
2005,7,2,21
2005,7,3,60
2005,7,4,28
2005,8,1,36
2005,8,2,47
2005,8,3,41
2005,8,4,38
2005,9,1,20
2005,9,2,20
2005,9,3,38
2005,9,4,28
2005,10,1,16
2005,10,2,20
2005,10,3,23
2005,10,4,21
2005,11,1,30
2005,11,2,43
2005,11,3,47
2005,11,4,57
2005,12,1,47
2005,12,2,38
2005,12,3,53
2005,12,4,53
2006,1,1,70
2006,1,2,34
2006,1,3,44
2006,1,4,20
2006,2,1,24
2006,2,2,30
2006,2,3,82
2006,2,4,30
2006,3,1,45
2006,3,2,71
2006,3,3,65
2006,3,4,28
2006,4,1,38
2006,4,2,37
2006,4,3,32
2006,4,4,11
2006,5,1,30
2006,5,2,31
2006,5,3,24
2006,5,4,28
2006,6,1,32
2006,6,2,41
2006,6,3,41
2006,6,4,52
2006,7,1,30
2006,7,2,37
2006,7,3,64
2006,7,4,48
2006,8,1,47
2006,8,2,73
2006,8,3,32
2006,8,4,49
2006,9,1,26
2006,9,2,50
2006,9,3,26
2006,9,4,37
2006,10,1,20
2006,10,2,36
2006,10,3,93
2006,10,4,68
2006,11,1,36
2006,11,2,27
2006,11,3,41
2006,11,4,34
2006,12,1,31
2006,12,2,21
2006,12,3,67
2006,12,4,55
2007,1,1,76
2007,1,2,37
2007,1,3,52
2007,1,4,27
2007,2,1,38
2007,2,2,39
2007,2,3,72
2007,2,4,48
2007,3,1,50
2007,3,2,47
2007,3,3,45
2007,3,4,51
2007,4,1,64
2007,4,2,55
2007,4,3,42
2007,4,4,21
2007,5,1,25
2007,5,2,18
2007,5,3,31
2007,5,4,19
2007,6,1,38
2007,6,2,76
2007,6,3,85
2007,6,4,94
2007,7,1,110
2007,7,2,121
2007,7,3,123
2007,7,4,136
2007,8,1,102
2007,8,2,110
2007,8,3,85
2007,8,4,69
2007,9,1,38
2007,9,2,71
2007,9,3,54
2007,9,4,68
2007,10,1,41
2007,10,2,48
2007,10,3,44
2007,10,4,25
2007,11,1,23
2007,11,2,31
2007,11,3,43
2007,11,4,49
2007,12,1,34
2007,12,2,38
2007,12,3,172
2007,12,4,155
2008,1,1,117
2008,1,2,25
2008,1,3,70
2008,1,4,74
2008,2,1,42
2008,2,2,46
2008,2,3,47
2008,2,4,26
2008,3,1,22
2008,3,2,74
2008,3,3,68
2008,3,4,85
2008,4,1,100
2008,4,2,50
2008,4,3,38
2008,4,4,20
2008,5,1,41
2008,5,2,40
2008,5,3,37
2008,5,4,25
2008,6,1,49
2008,6,2,79
2008,6,3,70
2008,6,4,53
2008,7,1,52
2008,7,2,73
2008,7,3,62
2008,7,4,56
2008,8,1,45
2008,8,2,65
2008,8,3,38
2008,8,4,21
2008,9,1,9
2008,9,2,25
2008,9,3,10
2008,9,4,8
2008,10,1,7
2008,10,2,13
2008,10,3,18
2008,10,4,28
2008,11,1,19
2008,11,2,25
2008,11,3,19
2008,11,4,17
2008,12,1,19
2008,12,2,49
2008,12,3,92
2008,12,4,54
