year,mes,semana,valor
2003,1,1,153
2003,1,2,114
2003,1,3,150
2003,1,4,60
2003,2,1,97
2003,2,2,206
2003,2,3,150
2003,2,4,119
2003,3,1,94
2003,3,2,92
2003,3,3,118
2003,3,4,113
2003,4,1,59
2003,4,2,68
2003,4,3,78
2003,4,4,74
2003,5,1,76
2003,5,2,62
2003,5,3,102
2003,5,4,35
2003,6,1,58
2003,6,2,152
2003,6,3,152
2003,6,4,113
2003,7,1,88
2003,7,2,117
2003,7,3,99
2003,7,4,148
2003,8,1,102
2003,8,2,103
2003,8,3,132
2003,8,4,83
2003,9,1,58
2003,9,2,82
2003,9,3,61
2003,9,4,42
2003,10,1,52
2003,10,2,72
2003,10,3,72
2003,10,4,236
2003,11,1,101
2003,11,2,155
2003,11,3,181
2003,11,4,91
2003,12,1,104
2003,12,2,103
2003,12,3,196
2003,12,4,231
2004,1,1,251
2004,1,2,82
2004,1,3,116
2004,1,4,91
2004,2,1,97
2004,2,2,140
2004,2,3,255
2004,2,4,146
2004,3,1,182
2004,3,2,140
2004,3,3,204
2004,3,4,156
2004,4,1,181
2004,4,2,165
2004,4,3,237
2004,4,4,130
2004,5,1,104
2004,5,2,138
2004,5,3,200
2004,5,4,201
2004,6,1,117
2004,6,2,194
2004,6,3,330
2004,6,4,260
2004,7,1,169
2004,7,2,198
2004,7,3,276
2004,7,4,220
2004,8,1,251
2004,8,2,273
2004,8,3,292
2004,8,4,146
2004,9,1,136
2004,9,2,111
2004,9,3,153
2004,9,4,127
2004,10,1,150
2004,10,2,187
2004,10,3,334
2004,10,4,222
2004,11,1,128
2004,11,2,128
2004,11,3,237
2004,11,4,275
2004,12,1,187
2004,12,2,131
2004,12,3,355
2004,12,4,524
2005,1,1,448
2005,1,2,268
2005,1,3,176
2005,1,4,191
2005,2,1,82
2005,2,2,226
2005,2,3,465
2005,2,4,141
2005,3,1,148
2005,3,2,185
2005,3,3,371
2005,3,4,282
2005,4,1,198
2005,4,2,174
2005,4,3,189
2005,4,4,213
2005,5,1,182
2005,5,2,138
2005,5,3,204
2005,5,4,165
2005,6,1,164
2005,6,2,224
2005,6,3,255
2005,6,4,286
2005,7,1,258
2005,7,2,241
2005,7,3,297
2005,7,4,285
2005,8,1,232
2005,8,2,348
2005,8,3,273
2005,8,4,173
2005,9,1,173
2005,9,2,183
2005,9,3,322
2005,9,4,234
2005,10,1,189
2005,10,2,201
2005,10,3,357
2005,10,4,179
2005,11,1,121
2005,11,2,192
2005,11,3,192
2005,11,4,194
2005,12,1,149
2005,12,2,195
2005,12,3,349
2005,12,4,273
2006,1,1,310
2006,1,2,149
2006,1,3,157
2006,1,4,103
2006,2,1,119
2006,2,2,134
2006,2,3,486
2006,2,4,160
2006,3,1,201
2006,3,2,325
2006,3,3,324
2006,3,4,281
2006,4,1,353
2006,4,2,273
2006,4,3,281
2006,4,4,201
2006,5,1,170
2006,5,2,210
2006,5,3,262
2006,5,4,197
2006,6,1,137
2006,6,2,260
2006,6,3,286
2006,6,4,272
2006,7,1,152
2006,7,2,152
2006,7,3,259
2006,7,4,298
2006,8,1,253
2006,8,2,286
2006,8,3,154
2006,8,4,218
2006,9,1,129
2006,9,2,161
2006,9,3,172
2006,9,4,112
2006,10,1,127
2006,10,2,221
2006,10,3,285
2006,10,4,177
2006,11,1,115
2006,11,2,165
2006,11,3,223
2006,11,4,205
2006,12,1,106
2006,12,2,188
2006,12,3,358
2006,12,4,339
2007,1,1,260
2007,1,2,184
2007,1,3,151
2007,1,4,94
2007,2,1,137
2007,2,2,220
2007,2,3,247
2007,2,4,144
2007,3,1,123
2007,3,2,150
2007,3,3,247
2007,3,4,172
2007,4,1,144
2007,4,2,245
2007,4,3,175
2007,4,4,100
2007,5,1,108
2007,5,2,100
2007,5,3,157
2007,5,4,174
2007,6,1,195
2007,6,2,241
2007,6,3,205
2007,6,4,231
2007,7,1,116
2007,7,2,229
2007,7,3,202
2007,7,4,229
2007,8,1,252
2007,8,2,256
2007,8,3,217
2007,8,4,218
2007,9,1,94
2007,9,2,96
2007,9,3,162
2007,9,4,149
2007,10,1,112
2007,10,2,170
2007,10,3,180
2007,10,4,145
2007,11,1,129
2007,11,2,184
2007,11,3,226
2007,11,4,204
2007,12,1,266
2007,12,2,170
2007,12,3,421
2007,12,4,323
2008,1,1,430
2008,1,2,125
2008,1,3,210
2008,1,4,319
2008,2,1,274
2008,2,2,244
2008,2,3,294
2008,2,4,148
2008,3,1,113
2008,3,2,222
2008,3,3,285
2008,3,4,355
2008,4,1,242
2008,4,2,144
2008,4,3,151
2008,4,4,67
2008,5,1,139
2008,5,2,235
2008,5,3,304
2008,5,4,248
2008,6,1,226
2008,6,2,296
2008,6,3,293
2008,6,4,203
2008,7,1,121
2008,7,2,226
2008,7,3,189
2008,7,4,180
2008,8,1,167
2008,8,2,184
2008,8,3,136
2008,8,4,116
2008,9,1,54
2008,9,2,118
2008,9,3,91
2008,9,4,99
2008,10,1,79
2008,10,2,147
2008,10,3,132
2008,10,4,133
2008,11,1,149
2008,11,2,116
2008,11,3,95
2008,11,4,123
2008,12,1,197
2008,12,2,184
2008,12,3,553
2008,12,4,367
