year,mes,semana,valor
2003,1,1,55
2003,1,2,37
2003,1,3,52
2003,1,4,40
2003,2,1,41
2003,2,2,90
2003,2,3,60
2003,2,4,34
2003,3,1,43
2003,3,2,56
2003,3,3,56
2003,3,4,47
2003,4,1,51
2003,4,2,35
2003,4,3,37
2003,4,4,38
2003,5,1,54
2003,5,2,71
2003,5,3,43
2003,5,4,29
2003,6,1,34
2003,6,2,61
2003,6,3,61
2003,6,4,93
2003,7,1,64
2003,7,2,90
2003,7,3,42
2003,7,4,82
2003,8,1,78
2003,8,2,56
2003,8,3,50
2003,8,4,44
2003,9,1,40
2003,9,2,39
2003,9,3,30
2003,9,4,34
2003,10,1,26
2003,10,2,49
2003,10,3,40
2003,10,4,98
2003,11,1,75
2003,11,2,105
2003,11,3,100
2003,11,4,73
2003,12,1,99
2003,12,2,90
2003,12,3,180
2003,12,4,141
2004,1,1,260
2004,1,2,60
2004,1,3,60
2004,1,4,93
2004,2,1,67
2004,2,2,63
2004,2,3,120
2004,2,4,52
2004,3,1,74
2004,3,2,40
2004,3,3,76
2004,3,4,55
2004,4,1,54
2004,4,2,37
2004,4,3,60
2004,4,4,38
2004,5,1,43
2004,5,2,71
2004,5,3,158
2004,5,4,118
2004,6,1,62
2004,6,2,132
2004,6,3,152
2004,6,4,97
2004,7,1,79
2004,7,2,76
2004,7,3,156
2004,7,4,114
2004,8,1,130
2004,8,2,101
2004,8,3,84
2004,8,4,83
2004,9,1,96
2004,9,2,74
2004,9,3,70
2004,9,4,56
2004,10,1,57
2004,10,2,64
2004,10,3,164
2004,10,4,76
2004,11,1,45
2004,11,2,66
2004,11,3,68
2004,11,4,94
2004,12,1,80
2004,12,2,98
2004,12,3,137
2004,12,4,239
2005,1,1,216
2005,1,2,164
2005,1,3,82
2005,1,4,57
2005,2,1,36
2005,2,2,125
2005,2,3,204
2005,2,4,60
2005,3,1,49
2005,3,2,87
2005,3,3,101
2005,3,4,88
2005,4,1,75
2005,4,2,56
2005,4,3,64
2005,4,4,50
2005,5,1,41
2005,5,2,100
2005,5,3,93
2005,5,4,90
2005,6,1,103
2005,6,2,144
2005,6,3,129
2005,6,4,130
2005,7,1,96
2005,7,2,106
2005,7,3,116
2005,7,4,123
2005,8,1,72
2005,8,2,106
2005,8,3,94
2005,8,4,57
2005,9,1,38
2005,9,2,74
2005,9,3,121
2005,9,4,51
2005,10,1,68
2005,10,2,73
2005,10,3,93
2005,10,4,61
2005,11,1,78
2005,11,2,83
2005,11,3,83
2005,11,4,71
2005,12,1,58
2005,12,2,101
2005,12,3,237
2005,12,4,187
2006,1,1,260
2006,1,2,91
2006,1,3,86
2006,1,4,47
2006,2,1,54
2006,2,2,90
2006,2,3,276
2006,2,4,114
2006,3,1,114
2006,3,2,203
2006,3,3,194
2006,3,4,177
2006,4,1,198
2006,4,2,126
2006,4,3,90
2006,4,4,79
2006,5,1,108
2006,5,2,100
2006,5,3,119
2006,5,4,145
2006,6,1,79
2006,6,2,101
2006,6,3,147
2006,6,4,196
2006,7,1,106
2006,7,2,104
2006,7,3,195
2006,7,4,123
2006,8,1,146
2006,8,2,141
2006,8,3,110
2006,8,4,171
2006,9,1,98
2006,9,2,135
2006,9,3,104
2006,9,4,104
2006,10,1,115
2006,10,2,132
2006,10,3,145
2006,10,4,129
2006,11,1,85
2006,11,2,108
2006,11,3,103
2006,11,4,108
2006,12,1,77
2006,12,2,145
2006,12,3,163
2006,12,4,131
2007,1,1,122
2007,1,2,110
2007,1,3,112
2007,1,4,65
2007,2,1,93
2007,2,2,169
2007,2,3,157
2007,2,4,127
2007,3,1,109
2007,3,2,82
2007,3,3,110
2007,3,4,147
2007,4,1,122
2007,4,2,155
2007,4,3,115
2007,4,4,82
2007,5,1,104
2007,5,2,118
2007,5,3,98
2007,5,4,123
2007,6,1,137
2007,6,2,132
2007,6,3,201
2007,6,4,173
2007,7,1,84
2007,7,2,179
2007,7,3,180
2007,7,4,161
2007,8,1,163
2007,8,2,185
2007,8,3,191
2007,8,4,153
2007,9,1,84
2007,9,2,99
2007,9,3,127
2007,9,4,92
2007,10,1,115
2007,10,2,146
2007,10,3,154
2007,10,4,159
2007,11,1,97
2007,11,2,139
2007,11,3,159
2007,11,4,159
2007,12,1,196
2007,12,2,162
2007,12,3,261
2007,12,4,228
2008,1,1,270
2008,1,2,140
2008,1,3,173
2008,1,4,173
2008,2,1,134
2008,2,2,146
2008,2,3,166
2008,2,4,105
2008,3,1,83
2008,3,2,121
2008,3,3,115
2008,3,4,151
2008,4,1,142
2008,4,2,128
2008,4,3,105
2008,4,4,99
2008,5,1,106
2008,5,2,128
2008,5,3,113
2008,5,4,89
2008,6,1,123
2008,6,2,204
2008,6,3,228
2008,6,4,196
2008,7,1,143
2008,7,2,152
2008,7,3,190
2008,7,4,177
2008,8,1,150
2008,8,2,173
2008,8,3,141
2008,8,4,102
2008,9,1,49
2008,9,2,107
2008,9,3,59
2008,9,4,47
2008,10,1,59
2008,10,2,51
2008,10,3,58
2008,10,4,75
2008,11,1,114
2008,11,2,69
2008,11,3,59
2008,11,4,38
2008,12,1,63
2008,12,2,90
2008,12,3,237
2008,12,4,132
