year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,2363
2003,6,2,2825
2003,6,3,7369
2003,6,4,714
2003,7,1,2122
2003,7,2,1023
2003,7,3,1672
2003,7,4,5035
2003,8,1,10282
2003,8,2,3876
2003,8,3,1358
2003,8,4,6265
2003,9,1,3051
2003,9,2,202
2003,9,3,405
2003,9,4,3383
2003,10,1,15
2003,10,2,2566
2003,10,3,107
2003,10,4,81
2003,11,1,1047
2003,11,2,3449
2003,11,3,585
2003,11,4,43
2003,12,1,445
2003,12,2,1780
2003,12,3,465
2003,12,4,363
2004,1,1,365
2004,1,2,73
2004,1,3,912
2004,1,4,456
2004,2,1,312
2004,2,2,179
2004,2,3,68
2004,2,4,1066
2004,3,1,653
2004,3,2,198
2004,3,3,786
2004,3,4,299
2004,4,1,213
2004,4,2,2780
2004,4,3,44
2004,4,4,103
2004,5,1,3530
2004,5,2,612
2004,5,3,17
2004,5,4,802
2004,6,1,4074
2004,6,2,889
2004,6,3,8135
2004,6,4,587
2004,7,1,2469
2004,7,2,3701
2004,7,3,9664
2004,7,4,600
2004,8,1,11183
2004,8,2,1999
2004,8,3,2588
2004,8,4,5092
2004,9,1,4790
2004,9,2,354
2004,9,3,1588
2004,9,4,999
2004,10,1,158
2004,10,2,172
2004,10,3,1712
2004,10,4,316
2004,11,1,464
2004,11,2,226
2004,11,3,563
2004,11,4,368
2004,12,1,697
2004,12,2,301
2004,12,3,1028
2004,12,4,834
2005,1,1,412
2005,1,2,500
2005,1,3,455
2005,1,4,422
2005,2,1,
2005,2,2,311
2005,2,3,419
2005,2,4,564
2005,3,1,217
2005,3,2,1176
2005,3,3,4829
2005,3,4,781
2005,4,1,685
2005,4,2,99
2005,4,3,101
2005,4,4,511
2005,5,1,6337
2005,5,2,55
2005,5,3,552
2005,5,4,3454
2005,6,1,1640
2005,6,2,901
2005,6,3,11802
2005,6,4,2053
2005,7,1,1134
2005,7,2,2464
2005,7,3,960
2005,7,4,2959
2005,8,1,9989
2005,8,2,3596
2005,8,3,169
2005,8,4,2850
2005,9,1,4642
2005,9,2,3683
2005,9,3,471
2005,9,4,999
2005,10,1,1006
2005,10,2,1831
2005,10,3,235
2005,10,4,523
2005,11,1,506
2005,11,2,662
2005,11,3,646
2005,11,4,634
2005,12,1,421
2005,12,2,727
2005,12,3,370
2005,12,4,329
2006,1,1,468
2006,1,2,2018
2006,1,3,453
2006,1,4,392
2006,2,1,1653
2006,2,2,259
2006,2,3,487
2006,2,4,474
2006,3,1,384
2006,3,2,1034
2006,3,3,3630
2006,3,4,231
2006,4,1,793
2006,4,2,269
2006,4,3,558
2006,4,4,138
2006,5,1,320
2006,5,2,4977
2006,5,3,361
2006,5,4,1633
2006,6,1,4311
2006,6,2,163
2006,6,3,568
2006,6,4,8531
2006,7,1,1848
2006,7,2,1164
2006,7,3,5019
2006,7,4,1285
2006,8,1,1081
2006,8,2,4514
2006,8,3,1297
2006,8,4,3617
2006,9,1,6493
2006,9,2,1257
2006,9,3,2898
2006,9,4,316
2006,10,1,272
2006,10,2,462
2006,10,3,565
2006,10,4,587
2006,11,1,241
2006,11,2,1961
2006,11,3,757
2006,11,4,816
2006,12,1,705
2006,12,2,984
2006,12,3,676
2006,12,4,404
2007,1,1,911
2007,1,2,919
2007,1,3,570
2007,1,4,327
2007,2,1,499
2007,2,2,494
2007,2,3,780
2007,2,4,440
2007,3,1,776
2007,3,2,704
2007,3,3,2090
2007,3,4,32
2007,4,1,810
2007,4,2,4244
2007,4,3,535
2007,4,4,313
2007,5,1,3074
2007,5,2,475
2007,5,3,1079
2007,5,4,606
2007,6,1,1088
2007,6,2,5595
2007,6,3,8415
2007,6,4,1714
2007,7,1,9280
2007,7,2,1409
2007,7,3,2093
2007,7,4,5114
2007,8,1,1125
2007,8,2,696
2007,8,3,315
2007,8,4,741
2007,9,1,873
2007,9,2,733
2007,9,3,689
2007,9,4,330
2007,10,1,148
2007,10,2,945
2007,10,3,679
2007,10,4,658
2007,11,1,215
2007,11,2,671
2007,11,3,721
2007,11,4,323
2007,12,1,605
2007,12,2,2082
2007,12,3,1331
2007,12,4,284
2008,1,1,640
2008,1,2,459
2008,1,3,582
2008,1,4,453
2008,2,1,685
2008,2,2,1814
2008,2,3,842
2008,2,4,309
2008,3,1,1024
2008,3,2,1113
2008,3,3,1931
2008,3,4,880
2008,4,1,1489
2008,4,2,274
2008,4,3,71
2008,4,4,510
2008,5,1,215
2008,5,2,1597
2008,5,3,1264
2008,5,4,1110
2008,6,1,1826
2008,6,2,1209
2008,6,3,14301
2008,6,4,886
2008,7,1,5696
2008,7,2,2354
2008,7,3,441
2008,7,4,5551
2008,8,1,424
2008,8,2,6679
2008,8,3,3724
2008,8,4,848
2008,9,1,156
2008,9,2,439
2008,9,3,18
2008,9,4,2500
2008,10,1,140
2008,10,2,2012
2008,10,3,187
2008,10,4,362
2008,11,1,287
2008,11,2,699
2008,11,3,169
2008,11,4,449
2008,12,1,373
2008,12,2,1117
2008,12,3,1608
2008,12,4,840
