year,mes,semana,valor
2003,1,1,0
2003,1,2,0
2003,1,3,0
2003,1,4,0
2003,2,1,0
2003,2,2,0
2003,2,3,0
2003,2,4,0
2003,3,1,0
2003,3,2,0
2003,3,3,0
2003,3,4,0
2003,4,1,0
2003,4,2,0
2003,4,3,0
2003,4,4,0
2003,5,1,0
2003,5,2,0
2003,5,3,0
2003,5,4,0
2003,6,1,105
2003,6,2,474
2003,6,3,122
2003,6,4,136
2003,7,1,465
2003,7,2,722
2003,7,3,819
2003,7,4,189
2003,8,1,849
2003,8,2,218
2003,8,3,160
2003,8,4,466
2003,9,1,114
2003,9,2,263
2003,9,3,2426
2003,9,4,140
2003,10,1,97
2003,10,2,213
2003,10,3,104
2003,10,4,359
2003,11,1,547
2003,11,2,612
2003,11,3,1024
2003,11,4,192
2003,12,1,3527
2003,12,2,1516
2003,12,3,233
2003,12,4,394
2004,1,1,2010
2004,1,2,1546
2004,1,3,720
2004,1,4,4618
2004,2,1,1284
2004,2,2,458
2004,2,3,173
2004,2,4,839
2004,3,1,1068
2004,3,2,147
2004,3,3,1003
2004,3,4,221
2004,4,1,168
2004,4,2,211
2004,4,3,149
2004,4,4,188
2004,5,1,290
2004,5,2,1376
2004,5,3,422
2004,5,4,756
2004,6,1,409
2004,6,2,585
2004,6,3,482
2004,6,4,287
2004,7,1,186
2004,7,2,583
2004,7,3,367
2004,7,4,654
2004,8,1,197
2004,8,2,1794
2004,8,3,448
2004,8,4,447
2004,9,1,5101
2004,9,2,875
2004,9,3,1643
2004,9,4,2879
2004,10,1,300
2004,10,2,106
2004,10,3,452
2004,10,4,394
2004,11,1,274
2004,11,2,354
2004,11,3,791
2004,11,4,357
2004,12,1,482
2004,12,2,824
2004,12,3,3762
2004,12,4,1878
2005,1,1,2133
2005,1,2,2009
2005,1,3,7205
2005,1,4,4400
2005,2,1,534
2005,2,2,789
2005,2,3,599
2005,2,4,1450
2005,3,1,584
2005,3,2,1523
2005,3,3,392
2005,3,4,491
2005,4,1,670
2005,4,2,1081
2005,4,3,329
2005,4,4,315
2005,5,1,93
2005,5,2,362
2005,5,3,417
2005,5,4,222
2005,6,1,658
2005,6,2,684
2005,6,3,248
2005,6,4,596
2005,7,1,821
2005,7,2,1741
2005,7,3,938
2005,7,4,458
2005,8,1,375
2005,8,2,917
2005,8,3,474
2005,8,4,2492
2005,9,1,951
2005,9,2,517
2005,9,3,1904
2005,9,4,1345
2005,10,1,284
2005,10,2,666
2005,10,3,220
2005,10,4,2852
2005,11,1,185
2005,11,2,368
2005,11,3,497
2005,11,4,294
2005,12,1,1057
2005,12,2,3241
2005,12,3,426
2005,12,4,397
2006,1,1,582
2006,1,2,772
2006,1,3,1231
2006,1,4,451
2006,2,1,451
2006,2,2,4380
2006,2,3,1247
2006,2,4,124
2006,3,1,653
2006,3,2,708
2006,3,3,536
2006,3,4,88
2006,4,1,402
2006,4,2,180
2006,4,3,284
2006,4,4,209
2006,5,1,151
2006,5,2,237
2006,5,3,164
2006,5,4,685
2006,6,1,416
2006,6,2,178
2006,6,3,1014
2006,6,4,526
2006,7,1,453
2006,7,2,242
2006,7,3,679
2006,7,4,445
2006,8,1,377
2006,8,2,253
2006,8,3,169
2006,8,4,1351
2006,9,1,307
2006,9,2,561
2006,9,3,749
2006,9,4,222
2006,10,1,626
2006,10,2,825
2006,10,3,982
2006,10,4,704
2006,11,1,205
2006,11,2,786
2006,11,3,494
2006,11,4,1798
2006,12,1,2280
2006,12,2,1450
2006,12,3,4176
2006,12,4,2110
2007,1,1,627
2007,1,2,4111
2007,1,3,2999
2007,1,4,516
2007,2,1,2083
2007,2,2,7887
2007,2,3,1666
2007,2,4,4236
2007,3,1,1649
2007,3,2,587
2007,3,3,4814
2007,3,4,1195
2007,4,1,450
2007,4,2,1479
2007,4,3,382
2007,4,4,1108
2007,5,1,334
2007,5,2,545
2007,5,3,274
2007,5,4,537
2007,6,1,791
2007,6,2,794
2007,6,3,697
2007,6,4,1777
2007,7,1,645
2007,7,2,753
2007,7,3,980
2007,7,4,815
2007,8,1,302
2007,8,2,389
2007,8,3,979
2007,8,4,421
2007,9,1,97
2007,9,2,752
2007,9,3,72
2007,9,4,128
2007,10,1,157
2007,10,2,665
2007,10,3,610
2007,10,4,243
2007,11,1,366
2007,11,2,141
2007,11,3,425
2007,11,4,384
2007,12,1,2368
2007,12,2,4693
2007,12,3,2870
2007,12,4,1142
2008,1,1,1333
2008,1,2,1456
2008,1,3,2079
2008,1,4,1843
2008,2,1,4212
2008,2,2,1901
2008,2,3,3302
2008,2,4,619
2008,3,1,2660
2008,3,2,1542
2008,3,3,2832
2008,3,4,486
2008,4,1,414
2008,4,2,368
2008,4,3,180
2008,4,4,517
2008,5,1,562
2008,5,2,341
2008,5,3,78
2008,5,4,480
2008,6,1,510
2008,6,2,1345
2008,6,3,923
2008,6,4,670
2008,7,1,260
2008,7,2,673
2008,7,3,730
2008,7,4,949
2008,8,1,1257
2008,8,2,1201
2008,8,3,959
2008,8,4,165
2008,9,1,1422
2008,9,2,4373
2008,9,3,554
2008,9,4,129
2008,10,1,24
2008,10,2,171
2008,10,3,130
2008,10,4,275
2008,11,1,123
2008,11,2,401
2008,11,3,109
2008,11,4,304
2008,12,1,459
2008,12,2,1119
2008,12,3,6208
2008,12,4,2256
