Year,Month,WeatherDelay
2000,1,0
2000,2,0
2000,3,0
2000,4,0
2000,5,0
2000,6,0
2000,7,0
2000,8,0
2000,9,0
2000,10,0
2000,11,0
2000,12,0
2001,1,0
2001,2,0
2001,3,0
2001,4,0
2001,5,0
2001,6,0
2001,7,0
2001,8,0
2001,9,0
2001,10,0
2001,11,0
2001,12,0
2002,1,0
2002,2,0
2002,3,0
2002,4,0
2002,5,0
2002,6,0
2002,7,0
2002,8,0
2002,9,0
2002,10,0
2002,11,0
2002,12,0
2003,1,15923
2003,2,2
2003,3,0
2003,4,0
2003,5,0
2003,6,7001
2003,7,8653
2003,8,9476
2003,9,3666
2003,10,2406
2003,11,5722
2003,12,7696
2004,1,43842
2004,2,9365
2004,3,5965
2004,4,5172
2004,5,10577
2004,6,15780
2004,7,10363
2004,8,10660
2004,9,4537
2004,10,7755
2004,11,9633
2004,12,13051
2005,1,38245
2005,2,7948
2005,3,9141
2005,4,5603
2005,5,6133
2005,6,11038
2005,7,17130
2005,8,11957
2005,9,4827
2005,10,6484
2005,11,6315
2005,12,11324
2006,1,37233
2006,2,8887
2006,3,8947
2006,4,7121
2006,5,8489
2006,6,12639
2006,7,11918
2006,8,10059
2006,9,8693
2006,10,10380
2006,11,7988
2006,12,10507
2007,1,40288
2007,2,13585
2007,3,9092
2007,4,7626
2007,5,8505
2007,6,17048
2007,7,15318
2007,8,11454
2007,9,5215
2007,10,6656
2007,11,5014
2007,12,15712
2008,1,32775
2008,2,12204
2008,3,10198
2008,4,5492
2008,5,5715
2008,6,11995
2008,7,10061
2008,8,8630
2008,9,3115
2008,10,2476
2008,11,3663
2008,12,16684
